step,epoch,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
0,,0.001,,,,
49,,0.001,,,,
49,0,,0.4546692371368408,,,
63,0,,,0.21035386621952057,,
63,0,,,,0.44093015789985657,
64,,0.001,,,,
99,,0.001,,,,
99,1,,0.42061635851860046,,,
127,1,,,0.17155514657497406,,
127,1,,,,0.4064549207687378,
128,,0.001,,,,
149,,0.001,,,,
149,2,,0.36232173442840576,,,
191,2,,,0.14749322831630707,,
191,2,,,,0.3758170008659363,
192,,0.001,,,,
199,,0.001,,,,
199,3,,0.3716505765914917,,,
249,,0.001,,,,
249,3,,0.38278448581695557,,,
255,3,,,0.1346060186624527,,
255,3,,,,0.35651347041130066,
256,,0.001,,,,
299,,0.001,,,,
299,4,,0.33462464809417725,,,
319,4,,,0.12099970132112503,,
319,4,,,,0.3416229486465454,
320,,0.001,,,,
349,,0.001,,,,
349,5,,0.30533453822135925,,,
383,5,,,0.11047132313251495,,
383,5,,,,0.32828569412231445,
384,,0.001,,,,
399,,0.001,,,,
399,6,,0.28333911299705505,,,
447,6,,,0.10367744415998459,,
447,6,,,,0.31899556517601013,
448,,0.001,,,,
449,,0.001,,,,
449,7,,0.292082816362381,,,
499,,0.001,,,,
499,7,,0.3596497178077698,,,
511,7,,,0.10215442627668381,,
511,7,,,,0.3120597004890442,
512,,0.001,,,,
549,,0.001,,,,
549,8,,0.35956788063049316,,,
575,8,,,0.09581594914197922,,
575,8,,,,0.3049812614917755,
576,,0.001,,,,
599,,0.001,,,,
599,9,,0.29094192385673523,,,
639,9,,,0.09106522053480148,,
639,9,,,,0.30290108919143677,
640,,0.001,,,,
649,,0.001,,,,
649,10,,0.2841883897781372,,,
699,,0.001,,,,
699,10,,0.3039887845516205,,,
703,10,,,0.08962633460760117,,
703,10,,,,0.2990216910839081,
704,,0.001,,,,
749,,0.001,,,,
749,11,,0.27781957387924194,,,
767,11,,,0.08276237547397614,,
767,11,,,,0.2948651909828186,
768,,0.001,,,,
799,,0.001,,,,
799,12,,0.2931593656539917,,,
831,12,,,0.08182818442583084,,
831,12,,,,0.2922842800617218,
832,,0.001,,,,
849,,0.001,,,,
849,13,,0.36471250653266907,,,
895,13,,,0.08658207952976227,,
895,13,,,,0.2944181263446808,
896,,0.001,,,,
899,,0.001,,,,
899,14,,0.3720781207084656,,,
949,,0.001,,,,
949,14,,0.3156892657279968,,,
959,14,,,0.0807192474603653,,
959,14,,,,0.290935754776001,
960,,0.001,,,,
999,,0.001,,,,
999,15,,0.3324624300003052,,,
1023,15,,,0.08064278960227966,,
1023,15,,,,0.2884170413017273,
1024,,0.001,,,,
1049,,0.001,,,,
1049,16,,0.26595446467399597,,,
1087,16,,,0.07743445783853531,,
1087,16,,,,0.2889958918094635,
1088,,0.001,,,,
1099,,0.001,,,,
1099,17,,0.285546213388443,,,
1149,,0.001,,,,
1149,17,,0.29144027829170227,,,
1151,17,,,0.08373632282018661,,
1151,17,,,,0.28891521692276,
1152,,0.001,,,,
1199,,0.001,,,,
1199,18,,0.32106813788414,,,
1215,18,,,0.07651356607675552,,
1215,18,,,,0.2891116738319397,
1216,,0.001,,,,
1249,,0.001,,,,
1249,19,,0.2990364730358124,,,
1279,19,,,0.0757061243057251,,
1279,19,,,,0.28743356466293335,
1280,,0.001,,,,
1299,,0.001,,,,
1299,20,,0.1878075897693634,,,
1343,20,,,0.08083483576774597,,
1343,20,,,,0.28459814190864563,
1344,,0.001,,,,
1349,,0.001,,,,
1349,21,,0.2823503017425537,,,
1399,,0.001,,,,
1399,21,,0.3578612506389618,,,
1407,21,,,0.07622595131397247,,
1407,21,,,,0.2867763638496399,
1408,,0.001,,,,
1449,,0.001,,,,
1449,22,,0.25788548588752747,,,
1471,22,,,0.07543689012527466,,
1471,22,,,,0.28366023302078247,
1472,,0.001,,,,
1499,,0.001,,,,
1499,23,,0.2817991375923157,,,
1535,23,,,0.07497378438711166,,
1535,23,,,,0.2833304703235626,
1536,,0.001,,,,
1549,,0.001,,,,
1549,24,,0.26927614212036133,,,
1599,,0.001,,,,
1599,24,,0.23659288883209229,,,
1599,24,,,0.07383333146572113,,
1599,24,,,,0.2808038294315338,
1600,,0.001,,,,
1649,,0.001,,,,
1649,25,,0.31831178069114685,,,
1663,25,,,0.07636059075593948,,
1663,25,,,,0.2805645763874054,
1664,,0.001,,,,
1699,,0.001,,,,
1699,26,,0.23460103571414948,,,
1727,26,,,0.07236271351575851,,
1727,26,,,,0.2811434864997864,
1728,,0.001,,,,
1749,,0.001,,,,
1749,27,,0.30348026752471924,,,
1791,27,,,0.07020988315343857,,
1791,27,,,,0.27753543853759766,
1792,,0.001,,,,
1799,,0.001,,,,
1799,28,,0.27637553215026855,,,
1849,,0.001,,,,
1849,28,,0.314043253660202,,,
1855,28,,,0.06893161684274673,,
1855,28,,,,0.2779492437839508,
1856,,0.001,,,,
1899,,0.001,,,,
1899,29,,0.35527774691581726,,,
1919,29,,,0.06762123852968216,,
1919,29,,,,0.27685338258743286,
1920,,0.001,,,,
1949,,0.001,,,,
1949,30,,0.323446661233902,,,
1983,30,,,0.06687707453966141,,
1983,30,,,,0.27600178122520447,
1984,,0.001,,,,
1999,,0.001,,,,
1999,31,,0.2947109341621399,,,
2047,31,,,0.06795847415924072,,
2047,31,,,,0.2758817672729492,
2048,,0.001,,,,
2049,,0.001,,,,
2049,32,,0.2255299985408783,,,
2099,,0.001,,,,
2099,32,,0.29361802339553833,,,
2111,32,,,0.06523071229457855,,
2111,32,,,,0.27325329184532166,
2112,,0.001,,,,
2149,,0.001,,,,
2149,33,,0.30749261379241943,,,
2175,33,,,0.06585913896560669,,
2175,33,,,,0.27315473556518555,
2176,,0.001,,,,
2199,,0.001,,,,
2199,34,,0.2873629331588745,,,
2239,34,,,0.06344100087881088,,
2239,34,,,,0.2697191536426544,
2240,,0.001,,,,
2249,,0.001,,,,
2249,35,,0.34038037061691284,,,
2299,,0.001,,,,
2299,35,,0.20961618423461914,,,
2303,35,,,0.0638326033949852,,
2303,35,,,,0.2705037593841553,
2304,,0.001,,,,
2349,,0.001,,,,
2349,36,,0.20605354011058807,,,
2367,36,,,0.0623759888112545,,
2367,36,,,,0.26943325996398926,
2368,,0.001,,,,
2399,,0.001,,,,
2399,37,,0.28893375396728516,,,
2431,37,,,0.06250832229852676,,
2431,37,,,,0.2687082886695862,
2432,,0.001,,,,
2449,,0.001,,,,
2449,38,,0.2627701163291931,,,
2495,38,,,0.0654604434967041,,
2495,38,,,,0.2644190192222595,
2496,,0.001,,,,
2499,,0.001,,,,
2499,39,,0.2137264609336853,,,
2549,,0.001,,,,
2549,39,,0.17758241295814514,,,
2559,39,,,0.06386241316795349,,
2559,39,,,,0.2664022445678711,
2560,,0.001,,,,
2599,,0.001,,,,
2599,40,,0.2864454984664917,,,
2623,40,,,0.0607975609600544,,
2623,40,,,,0.266658753156662,
2624,,0.001,,,,
2649,,0.001,,,,
2649,41,,0.2555136978626251,,,
2687,41,,,0.05937313660979271,,
2687,41,,,,0.26444950699806213,
2688,,0.001,,,,
2699,,0.001,,,,
2699,42,,0.23770703375339508,,,
2749,,0.001,,,,
2749,42,,0.31411492824554443,,,
2751,42,,,0.05863410606980324,,
2751,42,,,,0.26362016797065735,
2752,,0.001,,,,
2799,,0.001,,,,
