lr-Adam,train_loss_step,epoch,step,val_loss,train_loss_epoch,test_loss
0.001,,,0,,,
0.001,,,49,,,
,0.43322718143463135,0,49,,,
,,0,63,0.19986137747764587,,
,,0,63,,0.4378926753997803,
0.001,,,64,,,
0.001,,,99,,,
,0.3977665901184082,1,99,,,
,,1,127,0.18234042823314667,,
,,1,127,,0.4017255902290344,
0.001,,,128,,,
0.001,,,149,,,
,0.40224528312683105,2,149,,,
,,2,191,0.18160705268383026,,
,,2,191,,0.39158132672309875,
0.001,,,192,,,
0.001,,,199,,,
,0.47313326597213745,3,199,,,
0.001,,,249,,,
,0.294363796710968,3,249,,,
,,3,255,0.1815822422504425,,
,,3,255,,0.3894139528274536,
0.001,,,256,,,
0.001,,,299,,,
,0.453374981880188,4,299,,,
,,4,319,0.18117423355579376,,
,,4,319,,0.3876211941242218,
0.001,,,320,,,
0.001,,,349,,,
,0.3783613443374634,5,349,,,
,,5,383,0.1800493597984314,,
,,5,383,,0.3852379620075226,
0.001,,,384,,,
0.001,,,399,,,
,0.2725509703159332,6,399,,,
,,6,447,0.1765362024307251,,
,,6,447,,0.3825761675834656,
0.001,,,448,,,
0.001,,,449,,,
,0.39643609523773193,7,449,,,
0.001,,,499,,,
,0.3526915907859802,7,499,,,
,,7,511,0.16171415150165558,,
,,7,511,,0.3787536323070526,
0.001,,,512,,,
0.001,,,549,,,
,0.3573097884654999,8,549,,,
,,8,575,0.12607933580875397,,
,,8,575,,0.3575482666492462,
0.001,,,576,,,
0.001,,,599,,,
,0.34188902378082275,9,599,,,
,,9,639,0.09159917384386063,,
,,9,639,,0.3197633624076843,
0.001,,,640,,,
0.001,,,649,,,
,0.3567242920398712,10,649,,,
0.001,,,699,,,
,0.3963339328765869,10,699,,,
,,10,703,0.07578585296869278,,
,,10,703,,0.29268553853034973,
0.001,,,704,,,
0.001,,,749,,,
,0.3109607696533203,11,749,,,
,,11,767,0.0689568817615509,,
,,11,767,,0.279803991317749,
0.001,,,768,,,
0.001,,,799,,,
,0.2755703926086426,12,799,,,
,,12,831,0.06596934795379639,,
,,12,831,,0.2766568660736084,
0.001,,,832,,,
0.001,,,849,,,
,0.38779425621032715,13,849,,,
,,13,895,0.05929280072450638,,
,,13,895,,0.27003219723701477,
0.001,,,896,,,
0.001,,,899,,,
,0.3420836925506592,14,899,,,
0.001,,,949,,,
,0.31665027141571045,14,949,,,
,,14,959,0.05141567811369896,,
,,14,959,,0.262082576751709,
0.001,,,960,,,
0.001,,,999,,,
,0.2650372087955475,15,999,,,
,,15,1023,0.04738573729991913,,
,,15,1023,,0.25375550985336304,
0.001,,,1024,,,
0.001,,,1049,,,
,0.2206690013408661,16,1049,,,
,,16,1087,0.04041363298892975,,
,,16,1087,,0.2520011067390442,
0.001,,,1088,,,
0.001,,,1099,,,
,0.17731089890003204,17,1099,,,
0.001,,,1149,,,
,0.20052850246429443,17,1149,,,
,,17,1151,0.03627048060297966,,
,,17,1151,,0.2390926033258438,
0.001,,,1152,,,
0.001,,,1199,,,
,0.1920257955789566,18,1199,,,
,,18,1215,0.03853780776262283,,
,,18,1215,,0.24113181233406067,
0.001,,,1216,,,
0.001,,,1249,,,
,0.1962103396654129,19,1249,,,
,,19,1279,0.03338824585080147,,
,,19,1279,,0.23378944396972656,
0.001,,,1280,,,
0.001,,,1299,,,
,0.1694006770849228,20,1299,,,
,,20,1343,0.03224746882915497,,
,,20,1343,,0.2310551255941391,
0.001,,,1344,,,
0.001,,,1349,,,
,0.32021230459213257,21,1349,,,
0.001,,,1399,,,
,0.2616513967514038,21,1399,,,
,,21,1407,0.03267492726445198,,
,,21,1407,,0.23109011352062225,
0.001,,,1408,,,
0.001,,,1449,,,
,0.22326430678367615,22,1449,,,
,,22,1471,0.03400692716240883,,
,,22,1471,,0.23174092173576355,
0.001,,,1472,,,
0.001,,,1499,,,
,0.12236303091049194,23,1499,,,
,,23,1535,0.03250714763998985,,
,,23,1535,,0.22708724439144135,
0.001,,,1536,,,
0.001,,,1549,,,
,0.2742006778717041,24,1549,,,
0.001,,,1599,,,
,0.2584940791130066,24,1599,,,
,,24,1599,0.02978619746863842,,
,,24,1599,,0.2280617654323578,
0.001,,,1600,,,
0.001,,,1649,,,
,0.2441985309123993,25,1649,,,
,,25,1663,0.03332934156060219,,
,,25,1663,,0.2259170264005661,
0.001,,,1664,,,
0.001,,,1699,,,
,0.20860883593559265,26,1699,,,
,,26,1727,0.031144943088293076,,
,,26,1727,,0.22663332521915436,
0.001,,,1728,,,
0.001,,,1749,,,
,0.14521154761314392,27,1749,,,
,,27,1791,0.029200825840234756,,
,,27,1791,,0.22512167692184448,
0.001,,,1792,,,
0.001,,,1799,,,
,0.23825854063034058,28,1799,,,
0.001,,,1849,,,
,0.22118481993675232,28,1849,,,
,,28,1855,0.031546179205179214,,
,,28,1855,,0.2237226963043213,
0.001,,,1856,,,
0.001,,,1899,,,
,0.15024247765541077,29,1899,,,
,,29,1919,0.029366420581936836,,
,,29,1919,,0.22502240538597107,
0.001,,,1920,,,
0.001,,,1949,,,
,0.19745689630508423,30,1949,,,
,,30,1983,0.027956172823905945,,
,,30,1983,,0.2237919569015503,
0.001,,,1984,,,
0.001,,,1999,,,
,0.2840211093425751,31,1999,,,
,,31,2047,0.029370984062552452,,
,,31,2047,,0.22421637177467346,
0.001,,,2048,,,
0.001,,,2049,,,
,0.2002444565296173,32,2049,,,
0.001,,,2099,,,
,0.2435539960861206,32,2099,,,
,,32,2111,0.027547476813197136,,
,,32,2111,,0.22196288406848907,
0.001,,,2112,,,
0.001,,,2149,,,
,0.21552163362503052,33,2149,,,
,,33,2175,0.02865178883075714,,
,,33,2175,,0.22450467944145203,
0.001,,,2176,,,
0.001,,,2199,,,
,0.24981319904327393,34,2199,,,
,,34,2239,0.029591239988803864,,
,,34,2239,,0.22358891367912292,
0.001,,,2240,,,
0.001,,,2249,,,
,0.2386217564344406,35,2249,,,
0.001,,,2299,,,
,0.28753334283828735,35,2299,,,
,,35,2303,0.029488546773791313,,
,,35,2303,,0.22448521852493286,
0.001,,,2304,,,
0.001,,,2349,,,
,0.13796889781951904,36,2349,,,
,,36,2367,0.030617570504546165,,
,,36,2367,,0.22373878955841064,
0.001,,,2368,,,
0.001,,,2399,,,
,0.28392520546913147,37,2399,,,
,,37,2431,0.02787325158715248,,
,,37,2431,,0.22294609248638153,
0.001,,,2432,,,
0.001,,,2449,,,
,0.33316975831985474,38,2449,,,
,,38,2495,0.027566194534301758,,
,,38,2495,,0.22135186195373535,
0.001,,,2496,,,
0.001,,,2499,,,
,0.22752699255943298,39,2499,,,
0.001,,,2549,,,
,0.14805051684379578,39,2549,,,
,,39,2559,0.027089159935712814,,
,,39,2559,,0.22063665091991425,
0.001,,,2560,,,
0.001,,,2599,,,
,0.26544252038002014,40,2599,,,
,,40,2623,0.026903042569756508,,
,,40,2623,,0.22157122194766998,
0.001,,,2624,,,
0.001,,,2649,,,
,0.2956811189651489,41,2649,,,
,,41,2687,0.02671508677303791,,
,,41,2687,,0.22219130396842957,
0.001,,,2688,,,
0.001,,,2699,,,
,0.30739277601242065,42,2699,,,
0.001,,,2749,,,
,0.2476506382226944,42,2749,,,
,,42,2751,0.028037499636411667,,
,,42,2751,,0.22286264598369598,
0.001,,,2752,,,
0.001,,,2799,,,
,0.1915617138147354,43,2799,,,
,,43,2815,0.029111437499523163,,
,,43,2815,,0.22080305218696594,
0.001,,,2816,,,
0.001,,,2849,,,
,0.25465163588523865,44,2849,,,
,,44,2879,0.02695878967642784,,
,,44,2879,,0.2203046977519989,
0.001,,,2880,,,
0.001,,,2899,,,
,0.23312261700630188,45,2899,,,
,,45,2943,0.02815706841647625,,
,,45,2943,,0.217899352312088,
0.001,,,2944,,,
0.001,,,2949,,,
,0.1657344102859497,46,2949,,,
0.001,,,2999,,,
,0.09207307547330856,46,2999,,,
,,46,3007,0.02682441473007202,,
,,46,3007,,0.21993964910507202,
0.001,,,3008,,,
0.001,,,3049,,,
,0.25792866945266724,47,3049,,,
,,47,3071,0.026631133630871773,,
,,47,3071,,0.21872475743293762,
0.001,,,3072,,,
0.001,,,3099,,,
,0.22659489512443542,48,3099,,,
,,48,3135,0.030253319069743156,,
,,48,3135,,0.21975204348564148,
0.001,,,3136,,,
0.001,,,3149,,,
,0.23253133893013,49,3149,,,
0.001,,,3199,,,
,0.18387451767921448,49,3199,,,
,,49,3199,0.02656431682407856,,
,,49,3199,,0.220974400639534,
0.001,,,3200,,,
0.001,,,3249,,,
,0.2810303866863251,50,3249,,,
