step,train_loss_step,lr-Adam,epoch,val_loss,train_loss_epoch,test_loss
0,,0.001,,,,
49,,0.001,,,,
49,0.41252732276916504,,0,,,
63,,,0,0.16521427035331726,,
63,,,0,,0.4408038556575775,
64,,0.001,,,,
99,,0.001,,,,
99,0.3609541654586792,,1,,,
127,,,1,0.1227516382932663,,
127,,,1,,0.3579553961753845,
128,,0.001,,,,
149,,0.001,,,,
149,0.3239250183105469,,2,,,
191,,,2,0.1016804575920105,,
191,,,2,,0.32101351022720337,
192,,0.001,,,,
199,,0.001,,,,
199,0.35085275769233704,,3,,,
249,,0.001,,,,
249,0.28600579500198364,,3,,,
255,,,3,0.09660129249095917,,
255,,,3,,0.30345866084098816,
256,,0.001,,,,
299,,0.001,,,,
299,0.40014058351516724,,4,,,
319,,,4,0.0845644474029541,,
319,,,4,,0.2921559810638428,
320,,0.001,,,,
349,,0.001,,,,
349,0.19323217868804932,,5,,,
383,,,5,0.08133324235677719,,
383,,,5,,0.282063752412796,
384,,0.001,,,,
399,,0.001,,,,
399,0.2219352126121521,,6,,,
447,,,6,0.07694701105356216,,
447,,,6,,0.2739208936691284,
448,,0.001,,,,
449,,0.001,,,,
449,0.2596367597579956,,7,,,
499,,0.001,,,,
499,0.1908324658870697,,7,,,
511,,,7,0.07059604674577713,,
511,,,7,,0.26561808586120605,
512,,0.001,,,,
549,,0.001,,,,
549,0.31386229395866394,,8,,,
575,,,8,0.06845206022262573,,
575,,,8,,0.2621309161186218,
576,,0.001,,,,
599,,0.001,,,,
599,0.24385246634483337,,9,,,
639,,,9,0.06720825284719467,,
639,,,9,,0.25923389196395874,
640,,0.001,,,,
649,,0.001,,,,
649,0.22472181916236877,,10,,,
699,,0.001,,,,
699,0.26709240674972534,,10,,,
703,,,10,0.061554163694381714,,
703,,,10,,0.25840267539024353,
704,,0.001,,,,
749,,0.001,,,,
749,0.305866539478302,,11,,,
767,,,11,0.05915743112564087,,
767,,,11,,0.24989420175552368,
768,,0.001,,,,
799,,0.001,,,,
799,0.2310647964477539,,12,,,
831,,,12,0.05902042239904404,,
831,,,12,,0.24766211211681366,
832,,0.001,,,,
849,,0.001,,,,
849,0.2176140546798706,,13,,,
895,,,13,0.05761959031224251,,
895,,,13,,0.24121446907520294,
896,,0.001,,,,
899,,0.001,,,,
899,0.32427218556404114,,14,,,
949,,0.001,,,,
949,0.3167191445827484,,14,,,
959,,,14,0.0524480864405632,,
959,,,14,,0.24066777527332306,
960,,0.001,,,,
999,,0.001,,,,
999,0.24204234778881073,,15,,,
1023,,,15,0.054833490401506424,,
1023,,,15,,0.24331098794937134,
1024,,0.001,,,,
1049,,0.001,,,,
1049,0.2816382646560669,,16,,,
1087,,,16,0.05385412275791168,,
1087,,,16,,0.23823341727256775,
1088,,0.001,,,,
1099,,0.001,,,,
1099,0.33738744258880615,,17,,,
1149,,0.001,,,,
1149,0.20343802869319916,,17,,,
1151,,,17,0.048561640083789825,,
1151,,,17,,0.23731736838817596,
1152,,0.001,,,,
1199,,0.001,,,,
1199,0.31722721457481384,,18,,,
1215,,,18,0.04907955974340439,,
1215,,,18,,0.23146189749240875,
1216,,0.001,,,,
1249,,0.001,,,,
1249,0.19879882037639618,,19,,,
1279,,,19,0.047367289662361145,,
1279,,,19,,0.23120972514152527,
1280,,0.001,,,,
1299,,0.001,,,,
1299,0.17992375791072845,,20,,,
1343,,,20,0.046330731362104416,,
1343,,,20,,0.22699719667434692,
1344,,0.001,,,,
1349,,0.001,,,,
1349,0.16247636079788208,,21,,,
1399,,0.001,,,,
1399,0.2663588225841522,,21,,,
1407,,,21,0.04406711086630821,,
1407,,,21,,0.22798235714435577,
1408,,0.001,,,,
1449,,0.001,,,,
1449,0.20338311791419983,,22,,,
1471,,,22,0.0421278290450573,,
1471,,,22,,0.22744449973106384,
1472,,0.001,,,,
1499,,0.001,,,,
1499,0.1725546419620514,,23,,,
1535,,,23,0.03963843360543251,,
1535,,,23,,0.22449536621570587,
1536,,0.001,,,,
1549,,0.001,,,,
1549,0.21653515100479126,,24,,,
1599,,0.001,,,,
1599,0.28360337018966675,,24,,,
1599,,,24,0.04208894073963165,,
1599,,,24,,0.2216389775276184,
1600,,0.001,,,,
1649,,0.001,,,,
1649,0.25877878069877625,,25,,,
1663,,,25,0.039891280233860016,,
1663,,,25,,0.22343266010284424,
1664,,0.001,,,,
1699,,0.001,,,,
1699,0.2663368880748749,,26,,,
1727,,,26,0.03916377201676369,,
1727,,,26,,0.2186390459537506,
1728,,0.001,,,,
1749,,0.001,,,,
1749,0.2606797218322754,,27,,,
1791,,,27,0.037330783903598785,,
1791,,,27,,0.21817494928836823,
1792,,0.001,,,,
1799,,0.001,,,,
1799,0.20442381501197815,,28,,,
1849,,0.001,,,,
1849,0.19284655153751373,,28,,,
1855,,,28,0.0397624745965004,,
1855,,,28,,0.21893058717250824,
1856,,0.001,,,,
1899,,0.001,,,,
1899,0.23508146405220032,,29,,,
1919,,,29,0.037482742220163345,,
1919,,,29,,0.21740925312042236,
1920,,0.001,,,,
1949,,0.001,,,,
1949,0.14180681109428406,,30,,,
1983,,,30,0.03542519733309746,,
1983,,,30,,0.2158643901348114,
1984,,0.001,,,,
1999,,0.001,,,,
1999,0.3076540231704712,,31,,,
2047,,,31,0.032776813954114914,,
2047,,,31,,0.21519163250923157,
2048,,0.001,,,,
2049,,0.001,,,,
2049,0.25891348719596863,,32,,,
2099,,0.001,,,,
2099,0.20647937059402466,,32,,,
2111,,,32,0.03387131914496422,,
2111,,,32,,0.21199581027030945,
2112,,0.001,,,,
2149,,0.001,,,,
2149,0.13884186744689941,,33,,,
2175,,,33,0.03335285559296608,,
2175,,,33,,0.21260756254196167,
2176,,0.001,,,,
2199,,0.001,,,,
2199,0.20441506803035736,,34,,,
2239,,,34,0.032063066959381104,,
2239,,,34,,0.2097443789243698,
2240,,0.001,,,,
2249,,0.001,,,,
2249,0.23385560512542725,,35,,,
2299,,0.001,,,,
2299,0.2063998579978943,,35,,,
2303,,,35,0.034418631345033646,,
2303,,,35,,0.21169987320899963,
2304,,0.001,,,,
2349,,0.001,,,,
2349,0.2184583693742752,,36,,,
2367,,,36,0.03545352444052696,,
2367,,,36,,0.21255265176296234,
2368,,0.001,,,,
2399,,0.001,,,,
2399,0.20001813769340515,,37,,,
2431,,,37,0.02973519265651703,,
2431,,,37,,0.21125391125679016,
2432,,0.001,,,,
2449,,0.001,,,,
2449,0.12899111211299896,,38,,,
2495,,,38,0.032824888825416565,,
2495,,,38,,0.21160146594047546,
2496,,0.001,,,,
2499,,0.001,,,,
2499,0.3451015055179596,,39,,,
2549,,0.001,,,,
2549,0.191902756690979,,39,,,
2559,,,39,0.034618623554706573,,
2559,,,39,,0.2087356448173523,
2560,,0.001,,,,
2599,,0.001,,,,
2599,0.2755832374095917,,40,,,
2623,,,40,0.028670797124505043,,
2623,,,40,,0.2095041126012802,
2624,,0.001,,,,
2649,,0.001,,,,
2649,0.1937284916639328,,41,,,
2687,,,41,0.030993249267339706,,
2687,,,41,,0.20780594646930695,
2688,,0.001,,,,
2699,,0.001,,,,
2699,0.24401679635047913,,42,,,
2749,,0.001,,,,
2749,0.09636649489402771,,42,,,
2751,,,42,0.027660908177495003,,
2751,,,42,,0.20723338425159454,
2752,,0.001,,,,
2799,,0.001,,,,
