lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
0.001,,0,,,,
0.001,,49,,,,
,0.46138614416122437,49,0,,,
,,63,0,0.228412464261055,,
,,63,0,,0.44796693325042725,
0.001,,64,,,,
0.001,,99,,,,
,0.4182541072368622,99,1,,,
,,127,1,0.1744816154241562,,
,,127,1,,0.41425392031669617,
0.001,,128,,,,
0.001,,149,,,,
,0.3111320734024048,149,2,,,
,,191,2,0.14411453902721405,,
,,191,2,,0.3669743239879608,
0.001,,192,,,,
0.001,,199,,,,
,0.48077094554901123,199,3,,,
0.001,,249,,,,
,0.36187392473220825,249,3,,,
,,255,3,0.13268624246120453,,
,,255,3,,0.351375013589859,
0.001,,256,,,,
0.001,,299,,,,
,0.3035910725593567,299,4,,,
,,319,4,0.10233645886182785,,
,,319,4,,0.3345291316509247,
0.001,,320,,,,
0.001,,349,,,,
,0.2985210716724396,349,5,,,
,,383,5,0.0730670765042305,,
,,383,5,,0.3036235570907593,
0.001,,384,,,,
0.001,,399,,,,
,0.3066035509109497,399,6,,,
,,447,6,0.07404562830924988,,
,,447,6,,0.2811869978904724,
0.001,,448,,,,
0.001,,449,,,,
,0.339619517326355,449,7,,,
0.001,,499,,,,
,0.32627272605895996,499,7,,,
,,511,7,0.06391090154647827,,
,,511,7,,0.2754313051700592,
0.001,,512,,,,
0.001,,549,,,,
,0.20913326740264893,549,8,,,
,,575,8,0.06169438734650612,,
,,575,8,,0.2714874744415283,
0.001,,576,,,,
0.001,,599,,,,
,0.3158859312534332,599,9,,,
,,639,9,0.0554376058280468,,
,,639,9,,0.2661760747432709,
0.001,,640,,,,
0.001,,649,,,,
,0.13869626820087433,649,10,,,
0.001,,699,,,,
,0.14122451841831207,699,10,,,
,,703,10,0.05606986582279205,,
,,703,10,,0.2604147493839264,
0.001,,704,,,,
0.001,,749,,,,
,0.29896974563598633,749,11,,,
,,767,11,0.05430559813976288,,
,,767,11,,0.26009467244148254,
0.001,,768,,,,
0.001,,799,,,,
,0.2623991072177887,799,12,,,
,,831,12,0.05248479172587395,,
,,831,12,,0.25644347071647644,
0.001,,832,,,,
0.001,,849,,,,
,0.2821793258190155,849,13,,,
,,895,13,0.056574005633592606,,
,,895,13,,0.2581557333469391,
0.001,,896,,,,
0.001,,899,,,,
,0.26189124584198,899,14,,,
0.001,,949,,,,
,0.24730940163135529,949,14,,,
,,959,14,0.049929190427064896,,
,,959,14,,0.25353527069091797,
0.001,,960,,,,
0.001,,999,,,,
,0.23907992243766785,999,15,,,
,,1023,15,0.048431769013404846,,
,,1023,15,,0.2501686215400696,
0.001,,1024,,,,
0.001,,1049,,,,
,0.2037539780139923,1049,16,,,
,,1087,16,0.04696659371256828,,
,,1087,16,,0.2527230978012085,
0.001,,1088,,,,
0.001,,1099,,,,
,0.28220221400260925,1099,17,,,
0.001,,1149,,,,
,0.3221554756164551,1149,17,,,
,,1151,17,0.0455276183784008,,
,,1151,17,,0.24902716279029846,
0.001,,1152,,,,
0.001,,1199,,,,
,0.26419657468795776,1199,18,,,
,,1215,18,0.0517134852707386,,
,,1215,18,,0.24672871828079224,
0.001,,1216,,,,
0.001,,1249,,,,
,0.24418199062347412,1249,19,,,
,,1279,19,0.04893818125128746,,
,,1279,19,,0.24858172237873077,
0.001,,1280,,,,
0.001,,1299,,,,
,0.17201381921768188,1299,20,,,
,,1343,20,0.04326457157731056,,
,,1343,20,,0.2471289485692978,
0.001,,1344,,,,
0.001,,1349,,,,
,0.30905693769454956,1349,21,,,
0.001,,1399,,,,
,0.27896231412887573,1399,21,,,
,,1407,21,0.046263400465250015,,
,,1407,21,,0.24778097867965698,
0.001,,1408,,,,
0.001,,1449,,,,
,0.2929033041000366,1449,22,,,
,,1471,22,0.04302982613444328,,
,,1471,22,,0.24482734501361847,
0.001,,1472,,,,
0.001,,1499,,,,
,0.29226449131965637,1499,23,,,
,,1535,23,0.041590191423892975,,
,,1535,23,,0.24383054673671722,
0.001,,1536,,,,
0.001,,1549,,,,
,0.3166698217391968,1549,24,,,
0.001,,1599,,,,
,0.24238255620002747,1599,24,,,
,,1599,24,0.041736967861652374,,
,,1599,24,,0.2418598234653473,
0.001,,1600,,,,
0.001,,1649,,,,
,0.17590105533599854,1649,25,,,
,,1663,25,0.04099784046411514,,
,,1663,25,,0.24151721596717834,
0.001,,1664,,,,
0.001,,1699,,,,
,0.1865825206041336,1699,26,,,
,,1727,26,0.040703970938920975,,
,,1727,26,,0.23931775987148285,
0.001,,1728,,,,
0.001,,1749,,,,
,0.19463646411895752,1749,27,,,
,,1791,27,0.041924621909856796,,
,,1791,27,,0.241728276014328,
0.001,,1792,,,,
0.001,,1799,,,,
,0.21860191226005554,1799,28,,,
0.001,,1849,,,,
,0.23051247000694275,1849,28,,,
,,1855,28,0.042590346187353134,,
,,1855,28,,0.23734597861766815,
0.001,,1856,,,,
0.001,,1899,,,,
,0.2130911648273468,1899,29,,,
,,1919,29,0.038555558770895004,,
,,1919,29,,0.23770423233509064,
0.001,,1920,,,,
0.001,,1949,,,,
,0.2774485647678375,1949,30,,,
,,1983,30,0.040959980338811874,,
,,1983,30,,0.24111904203891754,
0.001,,1984,,,,
0.001,,1999,,,,
,0.26194530725479126,1999,31,,,
,,2047,31,0.041175540536642075,,
,,2047,31,,0.23927439749240875,
0.001,,2048,,,,
0.001,,2049,,,,
,0.2505994737148285,2049,32,,,
0.001,,2099,,,,
,0.313162237405777,2099,32,,,
,,2111,32,0.03853253275156021,,
,,2111,32,,0.23990388214588165,
0.001,,2112,,,,
0.001,,2149,,,,
,0.24211415648460388,2149,33,,,
,,2175,33,0.0385107584297657,,
,,2175,33,,0.23766881227493286,
0.001,,2176,,,,
0.001,,2199,,,,
,0.3419185280799866,2199,34,,,
,,2239,34,0.03715325519442558,,
,,2239,34,,0.23649530112743378,
0.001,,2240,,,,
0.001,,2249,,,,
,0.3139541745185852,2249,35,,,
0.001,,2299,,,,
,0.3652766942977905,2299,35,,,
,,2303,35,0.03810515254735947,,
,,2303,35,,0.23777535557746887,
0.001,,2304,,,,
0.001,,2349,,,,
,0.188497394323349,2349,36,,,
,,2367,36,0.03674061596393585,,
,,2367,36,,0.23759052157402039,
0.001,,2368,,,,
0.001,,2399,,,,
,0.15143246948719025,2399,37,,,
,,2431,37,0.03691284731030464,,
,,2431,37,,0.23677441477775574,
0.001,,2432,,,,
0.001,,2449,,,,
,0.2373334914445877,2449,38,,,
,,2495,38,0.03878447040915489,,
,,2495,38,,0.23618446290493011,
0.001,,2496,,,,
0.001,,2499,,,,
,0.21014635264873505,2499,39,,,
0.001,,2549,,,,
,0.24878880381584167,2549,39,,,
,,2559,39,0.04163467139005661,,
,,2559,39,,0.2366093248128891,
0.001,,2560,,,,
0.001,,2599,,,,
,0.25170302391052246,2599,40,,,
,,2623,40,0.0360749177634716,,
,,2623,40,,0.23473544418811798,
0.001,,2624,,,,
0.001,,2649,,,,
,0.3611568808555603,2649,41,,,
,,2687,41,0.03987669199705124,,
,,2687,41,,0.23469728231430054,
0.001,,2688,,,,
0.001,,2699,,,,
,0.23936404287815094,2699,42,,,
0.001,,2749,,,,
,0.12390724569559097,2749,42,,,
,,2751,42,0.035660598427057266,,
,,2751,42,,0.23309023678302765,
0.001,,2752,,,,
0.001,,2799,,,,
,0.24621668457984924,2799,43,,,
,,2815,43,0.03913140296936035,,
,,2815,43,,0.2341814935207367,
0.001,,2816,,,,
0.001,,2849,,,,
,0.24925795197486877,2849,44,,,
,,2879,44,0.03724014014005661,,
,,2879,44,,0.23449166119098663,
0.001,,2880,,,,
0.001,,2899,,,,
,0.17424510419368744,2899,45,,,
,,2943,45,0.03797680884599686,,
,,2943,45,,0.23341654241085052,
0.001,,2944,,,,
0.001,,2949,,,,
,0.17937242984771729,2949,46,,,
0.001,,2999,,,,
,0.22465839982032776,2999,46,,,
,,3007,46,0.03542017936706543,,
,,3007,46,,0.23238323628902435,
0.001,,3008,,,,
0.001,,3049,,,,
,0.1929001808166504,3049,47,,,
,,3071,47,0.03564107045531273,,
,,3071,47,,0.232579305768013,
0.001,,3072,,,,
0.001,,3099,,,,
,0.19322322309017181,3099,48,,,
,,3135,48,0.03621608763933182,,
,,3135,48,,0.23208458721637726,
0.001,,3136,,,,
0.001,,3149,,,,
,0.2573181390762329,3149,49,,,
0.001,,3199,,,,
,0.19138267636299133,3199,49,,,
,,3199,49,0.036069128662347794,,
,,3199,49,,0.23272870481014252,
0.001,,3200,,,,
0.001,,3249,,,,
,0.2655523717403412,3249,50,,,
