epoch,lr-AdamW,step,train_loss_step,val_loss,train_loss_epoch,test_loss
,0.001,0,,,,
,0.001,49,,,,
0,,49,0.45487141609191895,,,
0,,63,,0.21297290921211243,,
0,,63,,,0.4414416253566742,
,0.001,64,,,,
,0.001,99,,,,
1,,99,0.4230722188949585,,,
1,,127,,0.18462777137756348,,
1,,127,,,0.4113219976425171,
,0.001,128,,,,
,0.001,149,,,,
2,,149,0.380184531211853,,,
2,,191,,0.1818712204694748,,
2,,191,,,0.4002159535884857,
,0.001,192,,,,
,0.001,199,,,,
3,,199,0.4099789261817932,,,
,0.001,249,,,,
3,,249,0.430610716342926,,,
3,,255,,0.1817670613527298,,
3,,255,,,0.39982593059539795,
,0.001,256,,,,
,0.001,299,,,,
4,,299,0.39356014132499695,,,
4,,319,,0.18147897720336914,,
4,,319,,,0.39815017580986023,
,0.001,320,,,,
,0.001,349,,,,
5,,349,0.3713532090187073,,,
5,,383,,0.18164147436618805,,
5,,383,,,0.3989400565624237,
,0.001,384,,,,
,0.001,399,,,,
6,,399,0.36523133516311646,,,
6,,447,,0.18118664622306824,,
6,,447,,,0.3992826044559479,
,0.001,448,,,,
,0.001,449,,,,
7,,449,0.38213205337524414,,,
,0.001,499,,,,
7,,499,0.44673311710357666,,,
7,,511,,0.1813509613275528,,
7,,511,,,0.3985423147678375,
,0.001,512,,,,
,0.001,549,,,,
8,,549,0.4492916464805603,,,
8,,575,,0.1817793846130371,,
8,,575,,,0.39820221066474915,
,0.001,576,,,,
,0.001,599,,,,
9,,599,0.3903181254863739,,,
9,,639,,0.18154160678386688,,
9,,639,,,0.39959314465522766,
,0.001,640,,,,
,0.001,649,,,,
10,,649,0.381918728351593,,,
,0.001,699,,,,
10,,699,0.404340922832489,,,
10,,703,,0.18154296278953552,,
10,,703,,,0.3992518186569214,
,0.001,704,,,,
,0.001,749,,,,
11,,749,0.39191997051239014,,,
11,,767,,0.18186631798744202,,
11,,767,,,0.39762184023857117,
,0.001,768,,,,
,0.001,799,,,,
12,,799,0.4102126955986023,,,
12,,831,,0.18151453137397766,,
12,,831,,,0.3980131447315216,
,0.001,832,,,,
,0.001,849,,,,
13,,849,0.4638459384441376,,,
13,,895,,0.18165093660354614,,
13,,895,,,0.39927226305007935,
,0.001,896,,,,
,0.001,899,,,,
14,,899,0.469437837600708,,,
,0.001,949,,,,
14,,949,0.4195523262023926,,,
14,,959,,0.1811026930809021,,
14,,959,,,0.39779821038246155,
,0.001,960,,,,
,0.001,999,,,,
15,,999,0.4332576394081116,,,
15,,1023,,0.18201054632663727,,
15,,1023,,,0.3982658386230469,
,0.001,1024,,,,
,0.001,1049,,,,
16,,1049,0.3720896244049072,,,
16,,1087,,0.18130680918693542,,
16,,1087,,,0.3987194895744324,
,0.001,1088,,,,
,0.001,1099,,,,
17,,1099,0.3999069929122925,,,
,0.001,1149,,,,
17,,1149,0.41455012559890747,,,
17,,1151,,0.18159817159175873,,
17,,1151,,,0.39990589022636414,
,0.001,1152,,,,
,0.001,1199,,,,
18,,1199,0.4380961060523987,,,
18,,1215,,0.18113407492637634,,
18,,1215,,,0.3996746242046356,
,0.001,1216,,,,
,0.001,1249,,,,
19,,1249,0.41034889221191406,,,
19,,1279,,0.18118692934513092,,
19,,1279,,,0.39862537384033203,
,0.001,1280,,,,
,0.001,1299,,,,
20,,1299,0.3131188154220581,,,
20,,1343,,0.181024968624115,,
20,,1343,,,0.3982718586921692,
,0.001,1344,,,,
,0.001,1349,,,,
21,,1349,0.39992985129356384,,,
,0.001,1399,,,,
21,,1399,0.4698997735977173,,,
21,,1407,,0.18153247237205505,,
21,,1407,,,0.39984968304634094,
,0.001,1408,,,,
,0.001,1449,,,,
22,,1449,0.3793250024318695,,,
22,,1471,,0.18125562369823456,,
22,,1471,,,0.39860910177230835,
,0.001,1472,,,,
,0.001,1499,,,,
23,,1499,0.4028734266757965,,,
23,,1535,,0.18112505972385406,,
23,,1535,,,0.3994334638118744,
,0.001,1536,,,,
,0.001,1549,,,,
24,,1549,0.39362776279449463,,,
,0.001,1599,,,,
24,,1599,0.335468590259552,,,
24,,1599,,0.1816011369228363,,
24,,1599,,,0.39809945225715637,
,0.001,1600,,,,
,0.001,1649,,,,
25,,1649,0.43087637424468994,,,
25,,1663,,0.1813144087791443,,
25,,1663,,,0.3981914222240448,
,0.001,1664,,,,
,0.001,1699,,,,
26,,1699,0.35775870084762573,,,
26,,1727,,0.18141837418079376,,
26,,1727,,,0.39907950162887573,
,0.001,1728,,,,
,0.001,1749,,,,
27,,1749,0.4288337230682373,,,
27,,1791,,0.18121512234210968,,
27,,1791,,,0.3976733088493347,
,0.001,1792,,,,
,0.001,1799,,,,
28,,1799,0.4087516665458679,,,
,0.001,1849,,,,
28,,1849,0.43476247787475586,,,
28,,1855,,0.18127098679542542,,
28,,1855,,,0.3987226188182831,
,0.001,1856,,,,
,0.001,1899,,,,
29,,1899,0.47299128770828247,,,
29,,1919,,0.1816483736038208,,
29,,1919,,,0.40023574233055115,
,0.001,1920,,,,
,0.001,1949,,,,
30,,1949,0.4358673095703125,,,
30,,1983,,0.1810712218284607,,
30,,1983,,,0.39927080273628235,
,0.001,1984,,,,
,0.001,1999,,,,
31,,1999,0.4118223190307617,,,
31,,2047,,0.18137063086032867,,
31,,2047,,,0.3996945321559906,
,0.001,2048,,,,
,0.001,2049,,,,
32,,2049,0.35135558247566223,,,
,0.001,2099,,,,
32,,2099,0.43181097507476807,,,
32,,2111,,0.18112485110759735,,
32,,2111,,,0.39889052510261536,
,0.001,2112,,,,
,0.001,2149,,,,
33,,2149,0.4318925440311432,,,
33,,2175,,0.18137359619140625,,
33,,2175,,,0.39965736865997314,
,0.001,2176,,,,
,0.001,2199,,,,
34,,2199,0.4202847480773926,,,
34,,2239,,0.18097788095474243,,
34,,2239,,,0.39720016717910767,
,0.001,2240,,,,
,0.001,2249,,,,
35,,2249,0.46444937586784363,,,
,0.001,2299,,,,
35,,2299,0.33481863141059875,,,
35,,2303,,0.18153409659862518,,
35,,2303,,,0.3986462354660034,
,0.001,2304,,,,
,0.001,2349,,,,
36,,2349,0.3405989408493042,,,
36,,2367,,0.18127873539924622,,
36,,2367,,,0.3994882106781006,
,0.001,2368,,,,
,0.001,2399,,,,
37,,2399,0.4218549430370331,,,
37,,2431,,0.1812039017677307,,
37,,2431,,,0.39858004450798035,
,0.001,2432,,,,
,0.001,2449,,,,
38,,2449,0.4006703794002533,,,
38,,2495,,0.1818615049123764,,
38,,2495,,,0.3978348672389984,
,0.001,2496,,,,
,0.001,2499,,,,
39,,2499,0.3615517318248749,,,
,0.001,2549,,,,
39,,2549,0.3192065954208374,,,
39,,2559,,0.18185526132583618,,
39,,2559,,,0.3993467092514038,
,0.001,2560,,,,
,0.001,2599,,,,
40,,2599,0.43612536787986755,,,
40,,2623,,0.18122121691703796,,
40,,2623,,,0.3994589149951935,
,0.001,2624,,,,
,0.001,2649,,,,
41,,2649,0.39673706889152527,,,
41,,2687,,0.18134191632270813,,
41,,2687,,,0.3990999460220337,
,0.001,2688,,,,
,0.001,2699,,,,
42,,2699,0.38320615887641907,,,
,0.001,2749,,,,
42,,2749,0.4455508589744568,,,
42,,2751,,0.18141254782676697,,
42,,2751,,,0.3986339569091797,
,0.001,2752,,,,
,0.001,2799,,,,
43,,2799,0.4608227610588074,,,
43,,2815,,0.18095234036445618,,
43,,2815,,,0.3996429145336151,
,0.001,2816,,,,
,0.001,2849,,,,
44,,2849,0.28554844856262207,,,
44,,2879,,0.18157252669334412,,
44,,2879,,,0.3989177942276001,
,0.001,2880,,,,
,0.001,2899,,,,
45,,2899,0.3709316551685333,,,
45,,2943,,0.1811123490333557,,
45,,2943,,,0.39817944169044495,
,0.001,2944,,,,
,0.001,2949,,,,
46,,2949,0.3937194049358368,,,
,0.001,2999,,,,
46,,2999,0.3976069688796997,,,
46,,3007,,0.1813984364271164,,
46,,3007,,,0.39914461970329285,
,0.001,3008,,,,
,0.001,3049,,,,
47,,3049,0.49200838804244995,,,
47,,3071,,0.18106000125408173,,
47,,3071,,,0.39797115325927734,
,0.001,3072,,,,
,0.001,3099,,,,
48,,3099,0.3674110770225525,,,
48,,3135,,0.18152661621570587,,
48,,3135,,,0.39930182695388794,
,0.001,3136,,,,
,0.001,3149,,,,
49,,3149,0.43734288215637207,,,
,0.001,3199,,,,
49,,3199,0.4228719472885132,,,
49,,3199,,0.18109697103500366,,
49,,3199,,,0.39880743622779846,
,0.001,3200,,,,
,0.001,3249,,,,
50,,3249,0.3355070948600769,,,
