step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
0,,0.001,,,,
49,,0.001,,,,
49,0.3717585802078247,,0,,,
63,,,0,0.216866135597229,,
63,,,0,,0.44537124037742615,
64,,0.001,,,,
99,,0.001,,,,
99,0.3982149362564087,,1,,,
127,,,1,0.18775606155395508,,
127,,,1,,0.411865770816803,
128,,0.001,,,,
149,,0.001,,,,
149,0.3333808183670044,,2,,,
191,,,2,0.17716827988624573,,
191,,,2,,0.39652562141418457,
192,,0.001,,,,
199,,0.001,,,,
199,0.26140013337135315,,3,,,
249,,0.001,,,,
249,0.3198654055595398,,3,,,
255,,,3,0.13977856934070587,,
255,,,3,,0.36978858709335327,
256,,0.001,,,,
299,,0.001,,,,
299,0.41520869731903076,,4,,,
319,,,4,0.11121430993080139,,
319,,,4,,0.3394334018230438,
320,,0.001,,,,
349,,0.001,,,,
349,0.24501773715019226,,5,,,
383,,,5,0.09631664305925369,,
383,,,5,,0.315898597240448,
384,,0.001,,,,
399,,0.001,,,,
399,0.34282347559928894,,6,,,
447,,,6,0.0832829549908638,,
447,,,6,,0.2977111041545868,
448,,0.001,,,,
449,,0.001,,,,
449,0.43254658579826355,,7,,,
499,,0.001,,,,
499,0.27636587619781494,,7,,,
511,,,7,0.08268030732870102,,
511,,,7,,0.29236453771591187,
512,,0.001,,,,
549,,0.001,,,,
549,0.2657139301300049,,8,,,
575,,,8,0.07891768962144852,,
575,,,8,,0.2883593738079071,
576,,0.001,,,,
599,,0.001,,,,
599,0.23687946796417236,,9,,,
639,,,9,0.07808847725391388,,
639,,,9,,0.28769585490226746,
640,,0.001,,,,
649,,0.001,,,,
649,0.2662103474140167,,10,,,
699,,0.001,,,,
699,0.3583941161632538,,10,,,
703,,,10,0.07561162859201431,,
703,,,10,,0.2838258743286133,
704,,0.001,,,,
749,,0.001,,,,
749,0.23098593950271606,,11,,,
767,,,11,0.07608490437269211,,
767,,,11,,0.28697410225868225,
768,,0.001,,,,
799,,0.001,,,,
799,0.4069753885269165,,12,,,
831,,,12,0.07504544407129288,,
831,,,12,,0.28518804907798767,
832,,0.001,,,,
849,,0.001,,,,
849,0.2317730188369751,,13,,,
895,,,13,0.07531838864088058,,
895,,,13,,0.2797316312789917,
896,,0.001,,,,
899,,0.001,,,,
899,0.2375355213880539,,14,,,
949,,0.001,,,,
949,0.24586842954158783,,14,,,
959,,,14,0.07450313121080399,,
959,,,14,,0.280462384223938,
960,,0.001,,,,
999,,0.001,,,,
999,0.31971311569213867,,15,,,
1023,,,15,0.0743473619222641,,
1023,,,15,,0.28199705481529236,
1024,,0.001,,,,
1049,,0.001,,,,
1049,0.2667924463748932,,16,,,
1087,,,16,0.07364870607852936,,
1087,,,16,,0.27784255146980286,
1088,,0.001,,,,
1099,,0.001,,,,
1099,0.22086283564567566,,17,,,
1149,,0.001,,,,
1149,0.26355206966400146,,17,,,
1151,,,17,0.07315470278263092,,
1151,,,17,,0.2772238850593567,
1152,,0.001,,,,
1199,,0.001,,,,
1199,0.238657608628273,,18,,,
1215,,,18,0.08059750497341156,,
1215,,,18,,0.27768734097480774,
1216,,0.001,,,,
1249,,0.001,,,,
1249,0.29087191820144653,,19,,,
1279,,,19,0.07508295774459839,,
1279,,,19,,0.27709853649139404,
1280,,0.001,,,,
1299,,0.001,,,,
1299,0.3924427628517151,,20,,,
1343,,,20,0.07806088030338287,,
1343,,,20,,0.3130626082420349,
1344,,0.001,,,,
1349,,0.001,,,,
1349,0.3120528757572174,,21,,,
1399,,0.001,,,,
1399,0.28972017765045166,,21,,,
1407,,,21,0.07298871874809265,,
1407,,,21,,0.2826378643512726,
1408,,0.001,,,,
1449,,0.001,,,,
1449,0.32094842195510864,,22,,,
1471,,,22,0.0723765641450882,,
1471,,,22,,0.2816537916660309,
1472,,0.001,,,,
1499,,0.001,,,,
1499,0.35187196731567383,,23,,,
1535,,,23,0.06768452376127243,,
1535,,,23,,0.27674415707588196,
1536,,0.001,,,,
1549,,0.001,,,,
1549,0.2494550496339798,,24,,,
1599,,0.001,,,,
1599,0.23238742351531982,,24,,,
1599,,,24,0.06583867222070694,,
1599,,,24,,0.272597998380661,
1600,,0.001,,,,
1649,,0.001,,,,
1649,0.2858172655105591,,25,,,
1663,,,25,0.061152346432209015,,
1663,,,25,,0.26775863766670227,
1664,,0.001,,,,
1699,,0.001,,,,
1699,0.26479434967041016,,26,,,
1727,,,26,0.05819130688905716,,
1727,,,26,,0.2652926743030548,
1728,,0.001,,,,
1749,,0.001,,,,
1749,0.17465108633041382,,27,,,
1791,,,27,0.05792134255170822,,
1791,,,27,,0.2627267837524414,
1792,,0.001,,,,
1799,,0.001,,,,
1799,0.21936634182929993,,28,,,
1849,,0.001,,,,
1849,0.2800895869731903,,28,,,
1855,,,28,0.05413249880075455,,
1855,,,28,,0.26084792613983154,
1856,,0.001,,,,
1899,,0.001,,,,
1899,0.32885032892227173,,29,,,
1919,,,29,0.05427269637584686,,
1919,,,29,,0.257516473531723,
1920,,0.001,,,,
1949,,0.001,,,,
1949,0.20130997896194458,,30,,,
1983,,,30,0.05600889399647713,,
1983,,,30,,0.25770866870880127,
1984,,0.001,,,,
1999,,0.001,,,,
1999,0.2203565090894699,,31,,,
2047,,,31,0.05347471311688423,,
2047,,,31,,0.2572299838066101,
2048,,0.001,,,,
2049,,0.001,,,,
2049,0.30631718039512634,,32,,,
2099,,0.001,,,,
2099,0.2464664727449417,,32,,,
2111,,,32,0.05599537119269371,,
2111,,,32,,0.25725528597831726,
2112,,0.001,,,,
2149,,0.001,,,,
2149,0.2329024374485016,,33,,,
2175,,,33,0.05162988230586052,,
2175,,,33,,0.2519175112247467,
2176,,0.001,,,,
2199,,0.001,,,,
2199,0.25425243377685547,,34,,,
2239,,,34,0.051208317279815674,,
2239,,,34,,0.25365951657295227,
2240,,0.001,,,,
2249,,0.001,,,,
2249,0.27776670455932617,,35,,,
2299,,0.001,,,,
2299,0.34001457691192627,,35,,,
2303,,,35,0.05344751849770546,,
2303,,,35,,0.24945670366287231,
2304,,0.001,,,,
2349,,0.001,,,,
2349,0.26006826758384705,,36,,,
2367,,,36,0.051592618227005005,,
2367,,,36,,0.2556334137916565,
2368,,0.001,,,,
2399,,0.001,,,,
2399,0.19675074517726898,,37,,,
2431,,,37,0.05543094873428345,,
2431,,,37,,0.25317153334617615,
2432,,0.001,,,,
2449,,0.001,,,,
2449,0.2971007823944092,,38,,,
2495,,,38,0.0538673996925354,,
2495,,,38,,0.25107771158218384,
2496,,0.001,,,,
2499,,0.001,,,,
2499,0.25737494230270386,,39,,,
2549,,0.001,,,,
2549,0.24711745977401733,,39,,,
2559,,,39,0.051409147679805756,,
2559,,,39,,0.25079718232154846,
2560,,0.001,,,,
2599,,0.001,,,,
2599,0.16521257162094116,,40,,,
2623,,,40,0.050442904233932495,,
2623,,,40,,0.2499256134033203,
2624,,0.001,,,,
2649,,0.001,,,,
2649,0.19054551422595978,,41,,,
2687,,,41,0.048648394644260406,,
2687,,,41,,0.24871613085269928,
2688,,0.001,,,,
2699,,0.001,,,,
2699,0.24950623512268066,,42,,,
2749,,0.001,,,,
2749,0.22920213639736176,,42,,,
2751,,,42,0.057286106050014496,,
2751,,,42,,0.24744723737239838,
2752,,0.001,,,,
2799,,0.001,,,,
