step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
0,,,0.001,,,
49,,,0.001,,,
49,0,0.45466965436935425,,,,
63,0,,,0.2106674760580063,,
63,0,,,,0.4410332441329956,
64,,,0.001,,,
99,,,0.001,,,
99,1,0.42050468921661377,,,,
127,1,,,0.1761201024055481,,
127,1,,,,0.4087047576904297,
128,,,0.001,,,
149,,,0.001,,,
149,2,0.3682858943939209,,,,
191,2,,,0.1526874154806137,,
191,2,,,,0.3810526728630066,
192,,,0.001,,,
199,,,0.001,,,
199,3,0.3853066563606262,,,,
249,,,0.001,,,
249,3,0.3839239180088043,,,,
255,3,,,0.1392539143562317,,
255,3,,,,0.3648652136325836,
256,,,0.001,,,
299,,,0.001,,,
299,4,0.3303954005241394,,,,
319,4,,,0.1110118180513382,,
319,4,,,,0.34312552213668823,
320,,,0.001,,,
349,,,0.001,,,
349,5,0.29808884859085083,,,,
383,5,,,0.09501589089632034,,
383,5,,,,0.319954514503479,
384,,,0.001,,,
399,,,0.001,,,
399,6,0.2715931534767151,,,,
447,6,,,0.08818967640399933,,
447,6,,,,0.3072371482849121,
448,,,0.001,,,
449,,,0.001,,,
449,7,0.2829446792602539,,,,
499,,,0.001,,,
499,7,0.3528575301170349,,,,
511,7,,,0.08748481422662735,,
511,7,,,,0.3032767176628113,
512,,,0.001,,,
549,,,0.001,,,
549,8,0.3488079905509949,,,,
575,8,,,0.0799783244729042,,
575,8,,,,0.29711678624153137,
576,,,0.001,,,
599,,,0.001,,,
599,9,0.27867424488067627,,,,
639,9,,,0.07837184518575668,,
639,9,,,,0.29164424538612366,
640,,,0.001,,,
649,,,0.001,,,
649,10,0.2740144729614258,,,,
699,,,0.001,,,
699,10,0.28209835290908813,,,,
703,10,,,0.07599401473999023,,
703,10,,,,0.28452545404434204,
704,,,0.001,,,
749,,,0.001,,,
749,11,0.2640915811061859,,,,
767,11,,,0.07151512056589127,,
767,11,,,,0.27953916788101196,
768,,,0.001,,,
799,,,0.001,,,
799,12,0.27218180894851685,,,,
831,12,,,0.07167838513851166,,
831,12,,,,0.27649828791618347,
832,,,0.001,,,
849,,,0.001,,,
849,13,0.34810706973075867,,,,
895,13,,,0.06908246874809265,,
895,13,,,,0.2775026857852936,
896,,,0.001,,,
899,,,0.001,,,
899,14,0.3441125750541687,,,,
949,,,0.001,,,
949,14,0.30193066596984863,,,,
959,14,,,0.07074061781167984,,
959,14,,,,0.2746599614620209,
960,,,0.001,,,
999,,,0.001,,,
999,15,0.31073465943336487,,,,
1023,15,,,0.06644134223461151,,
1023,15,,,,0.2689800262451172,
1024,,,0.001,,,
1049,,,0.001,,,
1049,16,0.24764926731586456,,,,
1087,16,,,0.062075547873973846,,
1087,16,,,,0.2679502069950104,
1088,,,0.001,,,
1099,,,0.001,,,
1099,17,0.25580158829689026,,,,
1149,,,0.001,,,
1149,17,0.25822141766548157,,,,
1151,17,,,0.06185530871152878,,
1151,17,,,,0.2665894031524658,
1152,,,0.001,,,
1199,,,0.001,,,
1199,18,0.2945767343044281,,,,
1215,18,,,0.061674561351537704,,
1215,18,,,,0.26619982719421387,
1216,,,0.001,,,
1249,,,0.001,,,
1249,19,0.27353259921073914,,,,
1279,19,,,0.06022997573018074,,
1279,19,,,,0.26183754205703735,
1280,,,0.001,,,
1299,,,0.001,,,
1299,20,0.14860597252845764,,,,
1343,20,,,0.0586228221654892,,
1343,20,,,,0.26127249002456665,
1344,,,0.001,,,
1349,,,0.001,,,
1349,21,0.25286605954170227,,,,
1399,,,0.001,,,
1399,21,0.3355048596858978,,,,
1407,21,,,0.05664895847439766,,
1407,21,,,,0.26277390122413635,
1408,,,0.001,,,
1449,,,0.001,,,
1449,22,0.229744091629982,,,,
1471,22,,,0.05791736766695976,,
1471,22,,,,0.2595316469669342,
1472,,,0.001,,,
1499,,,0.001,,,
1499,23,0.25641781091690063,,,,
1535,23,,,0.05588012933731079,,
1535,23,,,,0.25872862339019775,
1536,,,0.001,,,
1549,,,0.001,,,
1549,24,0.25161752104759216,,,,
1599,,,0.001,,,
1599,24,0.21502727270126343,,,,
1599,24,,,0.05661451071500778,,
1599,24,,,,0.2563621401786804,
1600,,,0.001,,,
1649,,,0.001,,,
1649,25,0.2959284484386444,,,,
1663,25,,,0.054948076605796814,,
1663,25,,,,0.25674837827682495,
1664,,,0.001,,,
1699,,,0.001,,,
1699,26,0.2101670801639557,,,,
1727,26,,,0.05472452938556671,,
1727,26,,,,0.25546637177467346,
1728,,,0.001,,,
1749,,,0.001,,,
1749,27,0.27864187955856323,,,,
1791,27,,,0.05372470244765282,,
1791,27,,,,0.2539452016353607,
1792,,,0.001,,,
1799,,,0.001,,,
1799,28,0.24323955178260803,,,,
1849,,,0.001,,,
1849,28,0.2892659306526184,,,,
1855,28,,,0.05508580431342125,,
1855,28,,,,0.2549360692501068,
1856,,,0.001,,,
1899,,,0.001,,,
1899,29,0.3440632224082947,,,,
1919,29,,,0.052833713591098785,,
1919,29,,,,0.25523799657821655,
1920,,,0.001,,,
1949,,,0.001,,,
1949,30,0.312999963760376,,,,
1983,30,,,0.05468490347266197,,
1983,30,,,,0.25373712182044983,
1984,,,0.001,,,
1999,,,0.001,,,
1999,31,0.29214128851890564,,,,
2047,31,,,0.05727799981832504,,
2047,31,,,,0.2552087604999542,
2048,,,0.001,,,
2049,,,0.001,,,
2049,32,0.2127060741186142,,,,
2099,,,0.001,,,
2099,32,0.2826167047023773,,,,
2111,32,,,0.05281189829111099,,
2111,32,,,,0.2565487027168274,
2112,,,0.001,,,
2149,,,0.001,,,
2149,33,0.2944048047065735,,,,
2175,33,,,0.05235717445611954,,
2175,33,,,,0.25524333119392395,
2176,,,0.001,,,
2199,,,0.001,,,
2199,34,0.26150789856910706,,,,
2239,34,,,0.05776554346084595,,
2239,34,,,,0.2503013014793396,
2240,,,0.001,,,
2249,,,0.001,,,
2249,35,0.32416754961013794,,,,
2299,,,0.001,,,
2299,35,0.20399242639541626,,,,
2303,35,,,0.05445381999015808,,
2303,35,,,,0.25360044836997986,
2304,,,0.001,,,
2349,,,0.001,,,
2349,36,0.19348934292793274,,,,
2367,36,,,0.053205668926239014,,
2367,36,,,,0.25230830907821655,
2368,,,0.001,,,
2399,,,0.001,,,
2399,37,0.2703579068183899,,,,
2431,37,,,0.05167906731367111,,
2431,37,,,,0.25473594665527344,
2432,,,0.001,,,
2449,,,0.001,,,
2449,38,0.24715594947338104,,,,
2495,38,,,0.05079903081059456,,
2495,38,,,,0.2500418722629547,
2496,,,0.001,,,
2499,,,0.001,,,
2499,39,0.1983645260334015,,,,
2549,,,0.001,,,
2549,39,0.1672772765159607,,,,
2559,39,,,0.05119244009256363,,
2559,39,,,,0.250389039516449,
2560,,,0.001,,,
2599,,,0.001,,,
2599,40,0.25691330432891846,,,,
2623,40,,,0.05122757703065872,,
2623,40,,,,0.2507001459598541,
2624,,,0.001,,,
2649,,,0.001,,,
2649,41,0.2439383864402771,,,,
2687,41,,,0.05140835791826248,,
2687,41,,,,0.25102171301841736,
2688,,,0.001,,,
2699,,,0.001,,,
2699,42,0.22393640875816345,,,,
2749,,,0.001,,,
2749,42,0.3165959119796753,,,,
2751,42,,,0.05068792402744293,,
2751,42,,,,0.2516009509563446,
2752,,,0.001,,,
2799,,,0.001,,,
