step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
0,0.001,,,,,
49,0.001,,,,,
49,,0,0.12973666191101074,,,
63,,0,,0.12847711145877838,,
63,,0,,,0.1528335064649582,
64,0.001,,,,,
99,0.001,,,,,
99,,1,0.12924672663211823,,,
127,,1,,0.12751828134059906,,
127,,1,,,0.12700670957565308,
128,0.001,,,,,
149,0.001,,,,,
149,,2,0.12128813564777374,,,
191,,2,,0.11795488744974136,,
191,,2,,,0.12178324908018112,
192,0.001,,,,,
199,0.001,,,,,
199,,3,0.11916383355855942,,,
249,0.001,,,,,
249,,3,0.10893098264932632,,,
255,,3,,0.10939596593379974,,
255,,3,,,0.11483515053987503,
256,0.001,,,,,
299,0.001,,,,,
299,,4,0.1048748716711998,,,
319,,4,,0.10127914696931839,,
319,,4,,,0.10475289076566696,
320,0.001,,,,,
349,0.001,,,,,
349,,5,0.07317110896110535,,,
383,,5,,0.06186583265662193,,
383,,5,,,0.07649274170398712,
384,0.001,,,,,
399,0.001,,,,,
399,,6,0.055027298629283905,,,
447,,6,,0.049422092735767365,,
447,,6,,,0.05370340868830681,
448,0.001,,,,,
449,0.001,,,,,
449,,7,0.05028071254491806,,,
499,0.001,,,,,
499,,7,0.04872647300362587,,,
511,,7,,0.049916159361600876,,
511,,7,,,0.04734206944704056,
512,0.001,,,,,
549,0.001,,,,,
549,,8,0.04615173116326332,,,
575,,8,,0.0455312542617321,,
575,,8,,,0.04368169233202934,
576,0.001,,,,,
599,0.001,,,,,
599,,9,0.037449806928634644,,,
639,,9,,0.039801016449928284,,
639,,9,,,0.04188389703631401,
640,0.001,,,,,
649,0.001,,,,,
649,,10,0.051220379769802094,,,
699,0.001,,,,,
699,,10,0.03609320521354675,,,
703,,10,,0.03861880302429199,,
703,,10,,,0.03895018994808197,
704,0.001,,,,,
749,0.001,,,,,
749,,11,0.03456449508666992,,,
767,,11,,0.037164006382226944,,
767,,11,,,0.03572484850883484,
768,0.001,,,,,
799,0.001,,,,,
799,,12,0.03412533923983574,,,
831,,12,,0.04117010906338692,,
831,,12,,,0.03554118424654007,
832,0.001,,,,,
849,0.001,,,,,
849,,13,0.03426710516214371,,,
895,,13,,0.03184783086180687,,
895,,13,,,0.03418781980872154,
896,0.001,,,,,
899,0.001,,,,,
899,,14,0.0330185666680336,,,
949,0.001,,,,,
949,,14,0.03163369372487068,,,
959,,14,,0.03203798085451126,,
959,,14,,,0.03219769895076752,
960,0.001,,,,,
999,0.001,,,,,
999,,15,0.03167608752846718,,,
1023,,15,,0.03038167394697666,,
1023,,15,,,0.03260498866438866,
1024,0.001,,,,,
1049,0.001,,,,,
1049,,16,0.0305573008954525,,,
1087,,16,,0.02902642823755741,,
1087,,16,,,0.03066200204193592,
1088,0.001,,,,,
1099,0.001,,,,,
1099,,17,0.03247888386249542,,,
1149,0.001,,,,,
1149,,17,0.03350919857621193,,,
1151,,17,,0.031505927443504333,,
1151,,17,,,0.029441360384225845,
1152,0.001,,,,,
1199,0.001,,,,,
1199,,18,0.03035244345664978,,,
1215,,18,,0.029897643253207207,,
1215,,18,,,0.030565576627850533,
1216,0.001,,,,,
1249,0.001,,,,,
1249,,19,0.0284967590123415,,,
1279,,19,,0.03238562121987343,,
1279,,19,,,0.029008621349930763,
1280,0.001,,,,,
1299,0.001,,,,,
1299,,20,0.02680360898375511,,,
1343,,20,,0.026512131094932556,,
1343,,20,,,0.028845183551311493,
1344,0.001,,,,,
1349,0.001,,,,,
1349,,21,0.02976580150425434,,,
1399,0.001,,,,,
1399,,21,0.03046930581331253,,,
1407,,21,,0.02861396037042141,,
1407,,21,,,0.02832922711968422,
1408,0.001,,,,,
1449,0.001,,,,,
1449,,22,0.026074377819895744,,,
1471,,22,,0.02634538523852825,,
1471,,22,,,0.026697902008891106,
1472,0.001,,,,,
1499,0.001,,,,,
1499,,23,0.03125549852848053,,,
1535,,23,,0.02594066970050335,,
1535,,23,,,0.02682834304869175,
1536,0.001,,,,,
1549,0.001,,,,,
1549,,24,0.030193893238902092,,,
1599,0.001,,,,,
1599,,24,0.023388996720314026,,,
1599,,24,,0.02743619494140148,,
1599,,24,,,0.02572755515575409,
1600,0.001,,,,,
1649,0.001,,,,,
1649,,25,0.024568388238549232,,,
1663,,25,,0.02611946500837803,,
1663,,25,,,0.024919720366597176,
1664,0.001,,,,,
1699,0.001,,,,,
1699,,26,0.024665364995598793,,,
1727,,26,,0.02400730736553669,,
1727,,26,,,0.02527717873454094,
1728,0.001,,,,,
1749,0.001,,,,,
1749,,27,0.025094829499721527,,,
1791,,27,,0.022576402872800827,,
1791,,27,,,0.024915248155593872,
1792,0.001,,,,,
1799,0.001,,,,,
1799,,28,0.02471229061484337,,,
1849,0.001,,,,,
1849,,28,0.022651666775345802,,,
1855,,28,,0.024305878207087517,,
1855,,28,,,0.02422933839261532,
1856,0.001,,,,,
1899,0.001,,,,,
1899,,29,0.026315437629818916,,,
1919,,29,,0.02725260518491268,,
1919,,29,,,0.024785999208688736,
1920,0.001,,,,,
1949,0.001,,,,,
1949,,30,0.021753473207354546,,,
1983,,30,,0.02170751430094242,,
1983,,30,,,0.02346358262002468,
1984,0.001,,,,,
1999,0.001,,,,,
1999,,31,0.022839380428195,,,
2047,,31,,0.025266263633966446,,
2047,,31,,,0.022590067237615585,
2048,0.001,,,,,
2049,0.001,,,,,
2049,,32,0.023771723732352257,,,
2099,0.001,,,,,
2099,,32,0.02267628349363804,,,
2111,,32,,0.022080061957240105,,
2111,,32,,,0.02271897904574871,
2112,0.001,,,,,
2149,0.001,,,,,
2149,,33,0.022926706820726395,,,
2175,,33,,0.021743856370449066,,
2175,,33,,,0.022038772702217102,
2176,0.001,,,,,
2199,0.001,,,,,
2199,,34,0.021683473140001297,,,
2239,,34,,0.020994124934077263,,
2239,,34,,,0.021665308624505997,
2240,0.001,,,,,
2249,0.001,,,,,
2249,,35,0.021115213632583618,,,
2299,0.001,,,,,
2299,,35,0.021375002339482307,,,
2303,,35,,0.02445363439619541,,
2303,,35,,,0.021882373839616776,
2304,0.001,,,,,
2349,0.001,,,,,
2349,,36,0.021110868081450462,,,
2367,,36,,0.02103661186993122,,
2367,,36,,,0.021729128435254097,
2368,0.001,,,,,
2399,0.001,,,,,
2399,,37,0.021661901846528053,,,
2431,,37,,0.021523620933294296,,
2431,,37,,,0.022007210180163383,
2432,0.001,,,,,
2449,0.001,,,,,
2449,,38,0.02182941511273384,,,
2495,,38,,0.021411443129181862,,
2495,,38,,,0.02133198454976082,
2496,0.001,,,,,
2499,0.001,,,,,
2499,,39,0.021253466606140137,,,
2549,0.001,,,,,
2549,,39,0.019231591373682022,,,
2559,,39,,0.020157331600785255,,
2559,,39,,,0.021365784108638763,
2560,0.001,,,,,
2599,0.001,,,,,
2599,,40,0.019962631165981293,,,
2623,,40,,0.022486204281449318,,
2623,,40,,,0.02110849693417549,
2624,0.001,,,,,
2649,0.001,,,,,
2649,,41,0.021355943754315376,,,
2687,,41,,0.020882416516542435,,
2687,,41,,,0.02192794904112816,
2688,0.001,,,,,
2699,0.001,,,,,
2699,,42,0.02248000167310238,,,
2749,0.001,,,,,
2749,,42,0.021259218454360962,,,
2751,,42,,0.01957084983587265,,
2751,,42,,,0.021361710503697395,
2752,0.001,,,,,
2799,0.001,,,,,
