epoch,step,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
,0,0.001,,,,
,49,0.001,,,,
0,49,,0.08581389486789703,,,
0,63,,,0.08426326513290405,,
0,63,,,,0.12288553267717361,
,64,0.001,,,,
,99,0.001,,,,
1,99,,0.0793541818857193,,,
1,127,,,0.06860223412513733,,
1,127,,,,0.07585490494966507,
,128,0.001,,,,
,149,0.001,,,,
2,149,,0.06762150675058365,,,
2,191,,,0.06414350122213364,,
2,191,,,,0.06615448743104935,
,192,0.001,,,,
,199,0.001,,,,
3,199,,0.07331176847219467,,,
,249,0.001,,,,
3,249,,0.06954141706228256,,,
3,255,,,0.06053595617413521,,
3,255,,,,0.06606556475162506,
,256,0.001,,,,
,299,0.001,,,,
4,299,,0.05705571547150612,,,
4,319,,,0.057984594255685806,,
4,319,,,,0.05642387643456459,
,320,0.001,,,,
,349,0.001,,,,
5,349,,0.048012178391218185,,,
5,383,,,0.047350235283374786,,
5,383,,,,0.05142604932188988,
,384,0.001,,,,
,399,0.001,,,,
6,399,,0.04353896901011467,,,
6,447,,,0.042164284735918045,,
6,447,,,,0.04904269799590111,
,448,0.001,,,,
,449,0.001,,,,
7,449,,0.04402213171124458,,,
,499,0.001,,,,
7,499,,0.03778395429253578,,,
7,511,,,0.039073847234249115,,
7,511,,,,0.040883589535951614,
,512,0.001,,,,
,549,0.001,,,,
8,549,,0.034287966787815094,,,
8,575,,,0.035589586943387985,,
8,575,,,,0.039276644587516785,
,576,0.001,,,,
,599,0.001,,,,
9,599,,0.033333852887153625,,,
9,639,,,0.03403814882040024,,
9,639,,,,0.03631629794836044,
,640,0.001,,,,
,649,0.001,,,,
10,649,,0.03695215284824371,,,
,699,0.001,,,,
10,699,,0.04253492131829262,,,
10,703,,,0.04414032772183418,,
10,703,,,,0.036239348351955414,
,704,0.001,,,,
,749,0.001,,,,
11,749,,0.03214380145072937,,,
11,767,,,0.03024853952229023,,
11,767,,,,0.034535132348537445,
,768,0.001,,,,
,799,0.001,,,,
12,799,,0.03107309900224209,,,
12,831,,,0.029045749455690384,,
12,831,,,,0.031752921640872955,
,832,0.001,,,,
,849,0.001,,,,
13,849,,0.030274657532572746,,,
13,895,,,0.02812408097088337,,
13,895,,,,0.0311724953353405,
,896,0.001,,,,
,899,0.001,,,,
14,899,,0.030801836401224136,,,
,949,0.001,,,,
14,949,,0.02832145057618618,,,
14,959,,,0.028022877871990204,,
14,959,,,,0.02962927334010601,
,960,0.001,,,,
,999,0.001,,,,
15,999,,0.028312958776950836,,,
15,1023,,,0.027706272900104523,,
15,1023,,,,0.030286895111203194,
,1024,0.001,,,,
,1049,0.001,,,,
16,1049,,0.02886798605322838,,,
16,1087,,,0.026957465335726738,,
16,1087,,,,0.02875998616218567,
,1088,0.001,,,,
,1099,0.001,,,,
17,1099,,0.026779532432556152,,,
,1149,0.001,,,,
17,1149,,0.024228040128946304,,,
17,1151,,,0.025206713005900383,,
17,1151,,,,0.027081439271569252,
,1152,0.001,,,,
,1199,0.001,,,,
18,1199,,0.02568826451897621,,,
18,1215,,,0.025479959324002266,,
18,1215,,,,0.027668997645378113,
,1216,0.001,,,,
,1249,0.001,,,,
19,1249,,0.035448092967271805,,,
19,1279,,,0.028430737555027008,,
19,1279,,,,0.02684706449508667,
,1280,0.001,,,,
,1299,0.001,,,,
20,1299,,0.028658056631684303,,,
20,1343,,,0.0244006235152483,,
20,1343,,,,0.026308147236704826,
,1344,0.001,,,,
,1349,0.001,,,,
21,1349,,0.023974351584911346,,,
,1399,0.001,,,,
21,1399,,0.023568710312247276,,,
21,1407,,,0.023865610361099243,,
21,1407,,,,0.02525031380355358,
,1408,0.001,,,,
,1449,0.001,,,,
22,1449,,0.025067850947380066,,,
22,1471,,,0.024779142811894417,,
22,1471,,,,0.024938948452472687,
,1472,0.001,,,,
,1499,0.001,,,,
23,1499,,0.02272617258131504,,,
23,1535,,,0.02326926775276661,,
23,1535,,,,0.02511233650147915,
,1536,0.001,,,,
,1549,0.001,,,,
24,1549,,0.02646343782544136,,,
,1599,0.001,,,,
24,1599,,0.026095297187566757,,,
24,1599,,,0.02307095006108284,,
24,1599,,,,0.025060303509235382,
,1600,0.001,,,,
,1649,0.001,,,,
25,1649,,0.023758409544825554,,,
25,1663,,,0.022456668317317963,,
25,1663,,,,0.025701627135276794,
,1664,0.001,,,,
,1699,0.001,,,,
26,1699,,0.029679782688617706,,,
26,1727,,,0.026281459257006645,,
26,1727,,,,0.02397884801030159,
,1728,0.001,,,,
,1749,0.001,,,,
27,1749,,0.022391032427549362,,,
27,1791,,,0.02269851230084896,,
27,1791,,,,0.023662416264414787,
,1792,0.001,,,,
,1799,0.001,,,,
28,1799,,0.02379422076046467,,,
,1849,0.001,,,,
28,1849,,0.023132840171456337,,,
28,1855,,,0.022769169881939888,,
28,1855,,,,0.02405354008078575,
,1856,0.001,,,,
,1899,0.001,,,,
29,1899,,0.025284230709075928,,,
29,1919,,,0.023456718772649765,,
29,1919,,,,0.023254532366991043,
,1920,0.001,,,,
,1949,0.001,,,,
30,1949,,0.02297286130487919,,,
30,1983,,,0.021134890615940094,,
30,1983,,,,0.022573333233594894,
,1984,0.001,,,,
,1999,0.001,,,,
31,1999,,0.022270381450653076,,,
31,2047,,,0.028982190415263176,,
31,2047,,,,0.022305797785520554,
,2048,0.001,,,,
,2049,0.001,,,,
32,2049,,0.02504725009202957,,,
,2099,0.001,,,,
32,2099,,0.0219216700643301,,,
32,2111,,,0.02168978936970234,,
32,2111,,,,0.023399118334054947,
,2112,0.001,,,,
,2149,0.001,,,,
33,2149,,0.021792961284518242,,,
33,2175,,,0.020694280043244362,,
33,2175,,,,0.02195902355015278,
,2176,0.001,,,,
,2199,0.001,,,,
34,2199,,0.02156069129705429,,,
34,2239,,,0.02064898982644081,,
34,2239,,,,0.021380823105573654,
,2240,0.001,,,,
,2249,0.001,,,,
35,2249,,0.02153809554874897,,,
,2299,0.001,,,,
35,2299,,0.019444527104496956,,,
35,2303,,,0.02113996632397175,,
35,2303,,,,0.02072269842028618,
,2304,0.001,,,,
,2349,0.001,,,,
36,2349,,0.024184539914131165,,,
36,2367,,,0.021794484928250313,,
36,2367,,,,0.021315516903996468,
,2368,0.001,,,,
,2399,0.001,,,,
37,2399,,0.018455326557159424,,,
37,2431,,,0.019614407792687416,,
37,2431,,,,0.020521240308880806,
,2432,0.001,,,,
,2449,0.001,,,,
38,2449,,0.022576691582798958,,,
38,2495,,,0.019113492220640182,,
38,2495,,,,0.02095559611916542,
,2496,0.001,,,,
,2499,0.001,,,,
39,2499,,0.02128523774445057,,,
,2549,0.001,,,,
39,2549,,0.01921694725751877,,,
39,2559,,,0.018985427916049957,,
39,2559,,,,0.020271260291337967,
,2560,0.001,,,,
,2599,0.001,,,,
40,2599,,0.021693158894777298,,,
40,2623,,,0.018837668001651764,,
40,2623,,,,0.020030958577990532,
,2624,0.001,,,,
,2649,0.001,,,,
41,2649,,0.017818506807088852,,,
41,2687,,,0.01876252517104149,,
41,2687,,,,0.019783226773142815,
,2688,0.001,,,,
,2699,0.001,,,,
42,2699,,0.019651364535093307,,,
,2749,0.001,,,,
42,2749,,0.020004132762551308,,,
42,2751,,,0.01856074295938015,,
42,2751,,,,0.019783390685915947,
,2752,0.001,,,,
,2799,0.001,,,,
