train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,0,0.001,,,
,,49,0.001,,,
0.1415868103504181,0,49,,,,
,0,63,,0.13508884608745575,,
,0,63,,,0.1780901998281479,
,,64,0.001,,,
,,99,0.001,,,
0.13026230037212372,1,99,,,,
,1,127,,0.12678338587284088,,
,1,127,,,0.13057759404182434,
,,128,0.001,,,
,,149,0.001,,,
0.1222858801484108,2,149,,,,
,2,191,,0.12102315574884415,,
,2,191,,,0.12417680770158768,
,,192,0.001,,,
,,199,0.001,,,
0.11938200891017914,3,199,,,,
,,249,0.001,,,
0.11368139088153839,3,249,,,,
,3,255,,0.11593186110258102,,
,3,255,,,0.11839410662651062,
,,256,0.001,,,
,,299,0.001,,,
0.11479377001523972,4,299,,,,
,4,319,,0.11566236615180969,,
,4,319,,,0.11446494609117508,
,,320,0.001,,,
,,349,0.001,,,
0.10728683322668076,5,349,,,,
,5,383,,0.10709980875253677,,
,5,383,,,0.10952528566122055,
,,384,0.001,,,
,,399,0.001,,,
0.10214154422283173,6,399,,,,
,6,447,,0.10227324068546295,,
,6,447,,,0.1039307564496994,
,,448,0.001,,,
,,449,0.001,,,
0.09924913942813873,7,449,,,,
,,499,0.001,,,
0.09882283210754395,7,499,,,,
,7,511,,0.09761533886194229,,
,7,511,,,0.09863056987524033,
,,512,0.001,,,
,,549,0.001,,,
0.0934743732213974,8,549,,,,
,8,575,,0.09344944357872009,,
,8,575,,,0.09462135285139084,
,,576,0.001,,,
,,599,0.001,,,
0.0892922654747963,9,599,,,,
,9,639,,0.08765013515949249,,
,9,639,,,0.08930062502622604,
,,640,0.001,,,
,,649,0.001,,,
0.09037397801876068,10,649,,,,
,,699,0.001,,,
0.08481285721063614,10,699,,,,
,10,703,,0.08343666791915894,,
,10,703,,,0.0856294259428978,
,,704,0.001,,,
,,749,0.001,,,
0.08108849078416824,11,749,,,,
,11,767,,0.08061711490154266,,
,11,767,,,0.08094141632318497,
,,768,0.001,,,
,,799,0.001,,,
0.07902213931083679,12,799,,,,
,12,831,,0.07746627926826477,,
,12,831,,,0.07765564322471619,
,,832,0.001,,,
,,849,0.001,,,
0.07233307510614395,13,849,,,,
,13,895,,0.07237498462200165,,
,13,895,,,0.0733688473701477,
,,896,0.001,,,
,,899,0.001,,,
0.07371623814105988,14,899,,,,
,,949,0.001,,,
0.06808198243379593,14,949,,,,
,14,959,,0.07092764228582382,,
,14,959,,,0.07103431969881058,
,,960,0.001,,,
,,999,0.001,,,
0.06818774342536926,15,999,,,,
,15,1023,,0.07018855214118958,,
,15,1023,,,0.06874680519104004,
,,1024,0.001,,,
,,1049,0.001,,,
0.06831905245780945,16,1049,,,,
,16,1087,,0.07013516873121262,,
,16,1087,,,0.06840813159942627,
,,1088,0.001,,,
,,1099,0.001,,,
0.06470091640949249,17,1099,,,,
,,1149,0.001,,,
0.06370440870523453,17,1149,,,,
,17,1151,,0.06518043577671051,,
,17,1151,,,0.06575945019721985,
,,1152,0.001,,,
,,1199,0.001,,,
0.06733829528093338,18,1199,,,,
,18,1215,,0.06409298628568649,,
,18,1215,,,0.06428030878305435,
,,1216,0.001,,,
,,1249,0.001,,,
0.06491558998823166,19,1249,,,,
,19,1279,,0.07062941789627075,,
,19,1279,,,0.06308663636445999,
,,1280,0.001,,,
,,1299,0.001,,,
0.06133430823683739,20,1299,,,,
,20,1343,,0.06346285343170166,,
,20,1343,,,0.06260561943054199,
,,1344,0.001,,,
,,1349,0.001,,,
0.05921292304992676,21,1349,,,,
,,1399,0.001,,,
0.05667927488684654,21,1399,,,,
,21,1407,,0.062438592314720154,,
,21,1407,,,0.06136098876595497,
,,1408,0.001,,,
,,1449,0.001,,,
0.0602882094681263,22,1449,,,,
,22,1471,,0.059670329093933105,,
,22,1471,,,0.06051275134086609,
,,1472,0.001,,,
,,1499,0.001,,,
0.060968007892370224,23,1499,,,,
,23,1535,,0.0582561120390892,,
,23,1535,,,0.059635553508996964,
,,1536,0.001,,,
,,1549,0.001,,,
0.05845482274889946,24,1549,,,,
,,1599,0.001,,,
0.06014229357242584,24,1599,,,,
,24,1599,,0.05896501988172531,,
,24,1599,,,0.05810172110795975,
,,1600,0.001,,,
,,1649,0.001,,,
0.06031772494316101,25,1649,,,,
,25,1663,,0.05829557776451111,,
,25,1663,,,0.05794020742177963,
,,1664,0.001,,,
,,1699,0.001,,,
0.056423429399728775,26,1699,,,,
,26,1727,,0.05649533122777939,,
,26,1727,,,0.057383615523576736,
,,1728,0.001,,,
,,1749,0.001,,,
0.05935048311948776,27,1749,,,,
,27,1791,,0.05605736002326012,,
,27,1791,,,0.056720539927482605,
,,1792,0.001,,,
,,1799,0.001,,,
0.06287065148353577,28,1799,,,,
,,1849,0.001,,,
0.06038905307650566,28,1849,,,,
,28,1855,,0.056508298963308334,,
,28,1855,,,0.05667860805988312,
,,1856,0.001,,,
,,1899,0.001,,,
0.056250669062137604,29,1899,,,,
,29,1919,,0.055382560938596725,,
,29,1919,,,0.05698009207844734,
,,1920,0.001,,,
,,1949,0.001,,,
0.053297869861125946,30,1949,,,,
,30,1983,,0.05479159206151962,,
,30,1983,,,0.055391427129507065,
,,1984,0.001,,,
,,1999,0.001,,,
0.05860122665762901,31,1999,,,,
,31,2047,,0.0546562634408474,,
,31,2047,,,0.054924823343753815,
,,2048,0.001,,,
,,2049,0.001,,,
0.05159712955355644,32,2049,,,,
,,2099,0.001,,,
0.052388593554496765,32,2099,,,,
,32,2111,,0.054534830152988434,,
,32,2111,,,0.055238086730241776,
,,2112,0.001,,,
,,2149,0.001,,,
0.051250819116830826,33,2149,,,,
,33,2175,,0.05451815947890282,,
,33,2175,,,0.05430161952972412,
,,2176,0.001,,,
,,2199,0.001,,,
0.05543388053774834,34,2199,,,,
,34,2239,,0.054082512855529785,,
,34,2239,,,0.05436563491821289,
,,2240,0.001,,,
,,2249,0.001,,,
0.05157016962766647,35,2249,,,,
,,2299,0.001,,,
0.051015663892030716,35,2299,,,,
,35,2303,,0.054529692977666855,,
,35,2303,,,0.05435178428888321,
,,2304,0.001,,,
,,2349,0.001,,,
0.055423300713300705,36,2349,,,,
,36,2367,,0.05357833951711655,,
,36,2367,,,0.053672898560762405,
,,2368,0.001,,,
,,2399,0.001,,,
0.05324985459446907,37,2399,,,,
,37,2431,,0.05379553511738777,,
,37,2431,,,0.053957585245370865,
,,2432,0.001,,,
,,2449,0.001,,,
0.050112154334783554,38,2449,,,,
,38,2495,,0.05386026203632355,,
,38,2495,,,0.0537407360970974,
,,2496,0.001,,,
,,2499,0.001,,,
0.055067963898181915,39,2499,,,,
,,2549,0.001,,,
0.05191398039460182,39,2549,,,,
,39,2559,,0.05429627001285553,,
,39,2559,,,0.052817437797784805,
,,2560,0.001,,,
,,2599,0.001,,,
0.051405251026153564,40,2599,,,,
,40,2623,,0.0537821464240551,,
,40,2623,,,0.05326211079955101,
,,2624,0.001,,,
,,2649,0.001,,,
0.051824867725372314,41,2649,,,,
,41,2687,,0.05306808650493622,,
,41,2687,,,0.052573565393686295,
,,2688,0.001,,,
,,2699,0.001,,,
0.050528399646282196,42,2699,,,,
,,2749,0.001,,,
0.04742387682199478,42,2749,,,,
,42,2751,,0.052423056215047836,,
,42,2751,,,0.052859172224998474,
,,2752,0.001,,,
,,2799,0.001,,,
