train_loss_step,lr-Adam,epoch,step,val_loss,train_loss_epoch,test_loss
,0.001,,0,,,
,0.001,,49,,,
0.8970885276794434,,0,49,,,
,,0,63,0.8811696171760559,,
,,0,63,,0.993285596370697,
,0.001,,64,,,
,0.001,,99,,,
0.8788834810256958,,1,99,,,
,,1,127,0.8528866171836853,,
,,1,127,,0.8596506118774414,
,0.001,,128,,,
,0.001,,149,,,
0.8168817162513733,,2,149,,,
,,2,191,0.8461440205574036,,
,,2,191,,0.8473861813545227,
,0.001,,192,,,
,0.001,,199,,,
0.8474177718162537,,3,199,,,
,0.001,,249,,,
0.8185492753982544,,3,249,,,
,,3,255,0.840806245803833,,
,,3,255,,0.8412641882896423,
,0.001,,256,,,
,0.001,,299,,,
0.8307816982269287,,4,299,,,
,,4,319,0.8374083042144775,,
,,4,319,,0.8367634415626526,
,0.001,,320,,,
,0.001,,349,,,
0.8246857523918152,,5,349,,,
,,5,383,0.8307414054870605,,
,,5,383,,0.8304930925369263,
,0.001,,384,,,
,0.001,,399,,,
0.7971529960632324,,6,399,,,
,,6,447,0.8274475932121277,,
,,6,447,,0.823993980884552,
,0.001,,448,,,
,0.001,,449,,,
0.8096150159835815,,7,449,,,
,0.001,,499,,,
0.8077037930488586,,7,499,,,
,,7,511,0.8211853504180908,,
,,7,511,,0.81659334897995,
,0.001,,512,,,
,0.001,,549,,,
0.8210617899894714,,8,549,,,
,,8,575,0.8106090426445007,,
,,8,575,,0.8071848750114441,
,0.001,,576,,,
,0.001,,599,,,
0.7895613312721252,,9,599,,,
,,9,639,0.8062960505485535,,
,,9,639,,0.8015795350074768,
,0.001,,640,,,
,0.001,,649,,,
0.7629238367080688,,10,649,,,
,0.001,,699,,,
0.8111113905906677,,10,699,,,
,,10,703,0.8045967221260071,,
,,10,703,,0.7983281016349792,
,0.001,,704,,,
,0.001,,749,,,
0.831868588924408,,11,749,,,
,,11,767,0.8036295175552368,,
,,11,767,,0.7971071600914001,
,0.001,,768,,,
,0.001,,799,,,
0.814821183681488,,12,799,,,
,,12,831,0.8036588430404663,,
,,12,831,,0.7962270379066467,
,0.001,,832,,,
,0.001,,849,,,
0.7847567200660706,,13,849,,,
,,13,895,0.8022829294204712,,
,,13,895,,0.7958517074584961,
,0.001,,896,,,
,0.001,,899,,,
0.7830720543861389,,14,899,,,
,0.001,,949,,,
0.7988553047180176,,14,949,,,
,,14,959,0.8018694519996643,,
,,14,959,,0.7952816486358643,
,0.001,,960,,,
,0.001,,999,,,
0.8199265003204346,,15,999,,,
,,15,1023,0.8017019033432007,,
,,15,1023,,0.7952045798301697,
,0.001,,1024,,,
,0.001,,1049,,,
0.7875421643257141,,16,1049,,,
,,16,1087,0.801402747631073,,
,,16,1087,,0.7948508858680725,
,0.001,,1088,,,
,0.001,,1099,,,
0.8194950222969055,,17,1099,,,
,0.001,,1149,,,
0.7472573518753052,,17,1149,,,
,,17,1151,0.8029947280883789,,
,,17,1151,,0.7950717210769653,
,0.001,,1152,,,
,0.001,,1199,,,
0.7946289777755737,,18,1199,,,
,,18,1215,0.8010234236717224,,
,,18,1215,,0.7947657108306885,
,0.001,,1216,,,
,0.001,,1249,,,
0.8047330975532532,,19,1249,,,
,,19,1279,0.8008617758750916,,
,,19,1279,,0.7942274212837219,
,0.001,,1280,,,
,0.001,,1299,,,
0.8017805814743042,,20,1299,,,
,,20,1343,0.8010734915733337,,
,,20,1343,,0.7943976521492004,
,0.001,,1344,,,
,0.001,,1349,,,
0.7717438340187073,,21,1349,,,
,0.001,,1399,,,
0.7893896102905273,,21,1399,,,
,,21,1407,0.8006963729858398,,
,,21,1407,,0.794097363948822,
,0.001,,1408,,,
,0.001,,1449,,,
0.7862396240234375,,22,1449,,,
,,22,1471,0.8006770014762878,,
,,22,1471,,0.7944740056991577,
,0.001,,1472,,,
,0.001,,1499,,,
0.7556867599487305,,23,1499,,,
,,23,1535,0.8006855249404907,,
,,23,1535,,0.7938090562820435,
,0.001,,1536,,,
,0.001,,1549,,,
0.808726966381073,,24,1549,,,
,0.001,,1599,,,
0.8177528977394104,,24,1599,,,
,,24,1599,0.8004617094993591,,
,,24,1599,,0.7938326597213745,
,0.001,,1600,,,
,0.001,,1649,,,
0.8131350874900818,,25,1649,,,
,,25,1663,0.800287127494812,,
,,25,1663,,0.7935754060745239,
,0.001,,1664,,,
,0.001,,1699,,,
0.8043934106826782,,26,1699,,,
,,26,1727,0.8010631799697876,,
,,26,1727,,0.7940614223480225,
,0.001,,1728,,,
,0.001,,1749,,,
0.7854083180427551,,27,1749,,,
,,27,1791,0.8000058531761169,,
,,27,1791,,0.7935274839401245,
,0.001,,1792,,,
,0.001,,1799,,,
0.780893862247467,,28,1799,,,
,0.001,,1849,,,
0.780734121799469,,28,1849,,,
,,28,1855,0.8000237345695496,,
,,28,1855,,0.793413519859314,
,0.001,,1856,,,
,0.001,,1899,,,
0.7820600867271423,,29,1899,,,
,,29,1919,0.7998251914978027,,
,,29,1919,,0.7932130098342896,
,0.001,,1920,,,
,0.001,,1949,,,
0.7731486558914185,,30,1949,,,
,,30,1983,0.8011853694915771,,
,,30,1983,,0.7933899760246277,
,0.001,,1984,,,
,0.001,,1999,,,
0.8012152910232544,,31,1999,,,
,,31,2047,0.7997273802757263,,
,,31,2047,,0.7933595180511475,
,0.001,,2048,,,
,0.001,,2049,,,
0.8245820999145508,,32,2049,,,
,0.001,,2099,,,
0.8004461526870728,,32,2099,,,
,,32,2111,0.7997197508811951,,
,,32,2111,,0.7930740714073181,
,0.001,,2112,,,
,0.001,,2149,,,
0.7607245445251465,,33,2149,,,
,,33,2175,0.7997963428497314,,
,,33,2175,,0.7932711243629456,
,0.001,,2176,,,
,0.001,,2199,,,
0.7615051865577698,,34,2199,,,
,,34,2239,0.8000519275665283,,
,,34,2239,,0.7931673526763916,
,0.001,,2240,,,
,0.001,,2249,,,
0.7859168648719788,,35,2249,,,
,0.001,,2299,,,
0.8059789538383484,,35,2299,,,
,,35,2303,0.799492597579956,,
,,35,2303,,0.792942464351654,
,0.001,,2304,,,
,0.001,,2349,,,
0.7956390976905823,,36,2349,,,
,,36,2367,0.7993457317352295,,
,,36,2367,,0.7926936745643616,
,0.001,,2368,,,
,0.001,,2399,,,
0.7918170690536499,,37,2399,,,
,,37,2431,0.7993746399879456,,
,,37,2431,,0.792660653591156,
,0.001,,2432,,,
,0.001,,2449,,,
0.7877424359321594,,38,2449,,,
,,38,2495,0.799354612827301,,
,,38,2495,,0.7927393913269043,
,0.001,,2496,,,
,0.001,,2499,,,
0.7826849818229675,,39,2499,,,
,0.001,,2549,,,
0.7765277624130249,,39,2549,,,
,,39,2559,0.7995879054069519,,
,,39,2559,,0.7926231622695923,
,0.001,,2560,,,
,0.001,,2599,,,
0.808972954750061,,40,2599,,,
,,40,2623,0.7992773056030273,,
,,40,2623,,0.7927713990211487,
,0.001,,2624,,,
,0.001,,2649,,,
0.7982906699180603,,41,2649,,,
,,41,2687,0.7992019653320312,,
,,41,2687,,0.7925258874893188,
,0.001,,2688,,,
,0.001,,2699,,,
0.7667814493179321,,42,2699,,,
,0.001,,2749,,,
0.7822520136833191,,42,2749,,,
,,42,2751,0.7990697622299194,,
,,42,2751,,0.7923634052276611,
,0.001,,2752,,,
,0.001,,2799,,,
0.7906284332275391,,43,2799,,,
,,43,2815,0.7989890575408936,,
,,43,2815,,0.7924392819404602,
,0.001,,2816,,,
,0.001,,2849,,,
0.7913028597831726,,44,2849,,,
,,44,2879,0.7989975214004517,,
,,44,2879,,0.7922715544700623,
,0.001,,2880,,,
,0.001,,2899,,,
0.7997027635574341,,45,2899,,,
,,45,2943,0.8024378418922424,,
,,45,2943,,0.792273759841919,
,0.001,,2944,,,
,0.001,,2949,,,
0.7935264706611633,,46,2949,,,
,0.001,,2999,,,
0.7889803051948547,,46,2999,,,
,,46,3007,0.7989037036895752,,
,,46,3007,,0.7932245135307312,
,0.001,,3008,,,
,0.001,,3049,,,
0.7869378328323364,,47,3049,,,
,,47,3071,0.7990986704826355,,
,,47,3071,,0.7921241521835327,
,0.001,,3072,,,
,0.001,,3099,,,
0.7898240089416504,,48,3099,,,
,,48,3135,0.798874020576477,,
,,48,3135,,0.7921667695045471,
,0.001,,3136,,,
,0.001,,3149,,,
0.7873691916465759,,49,3149,,,
,0.001,,3199,,,
0.7976423501968384,,49,3199,,,
,,49,3199,0.7988364696502686,,
,,49,3199,,0.7921661734580994,
,0.001,,3200,,,
,0.001,,3249,,,
0.7715886235237122,,50,3249,,,
,,50,3263,0.7989303469657898,,
