step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
0,0.001,,,,,
49,0.001,,,,,
49,,0,0.8970885872840881,,,
63,,0,,0.8811696171760559,,
63,,0,,,0.993285596370697,
64,0.001,,,,,
99,0.001,,,,,
99,,1,0.8788810968399048,,,
127,,1,,0.8528850674629211,,
127,,1,,,0.8596540093421936,
128,0.001,,,,,
149,0.001,,,,,
149,,2,0.8170635104179382,,,
191,,2,,0.84626305103302,,
191,,2,,,0.8475860953330994,
192,0.001,,,,,
199,0.001,,,,,
199,,3,0.8477293252944946,,,
249,0.001,,,,,
249,,3,0.8184984922409058,,,
255,,3,,0.8402395844459534,,
255,,3,,,0.8417612314224243,
256,0.001,,,,,
299,0.001,,,,,
299,,4,0.8324182629585266,,,
319,,4,,0.8371692895889282,,
319,,4,,,0.8370206952095032,
320,0.001,,,,,
349,0.001,,,,,
349,,5,0.8245437741279602,,,
383,,5,,0.8303717374801636,,
383,,5,,,0.8300198912620544,
384,0.001,,,,,
399,0.001,,,,,
399,,6,0.7969602942466736,,,
447,,6,,0.8282812833786011,,
447,,6,,,0.8243096470832825,
448,0.001,,,,,
449,0.001,,,,,
449,,7,0.8109495043754578,,,
499,0.001,,,,,
499,,7,0.8096476197242737,,,
511,,7,,0.8206289410591125,,
511,,7,,,0.8178964257240295,
512,0.001,,,,,
549,0.001,,,,,
549,,8,0.8226733207702637,,,
575,,8,,0.8104557394981384,,
575,,8,,,0.8087068796157837,
576,0.001,,,,,
599,0.001,,,,,
599,,9,0.7885929346084595,,,
639,,9,,0.807306170463562,,
639,,9,,,0.8014397025108337,
640,0.001,,,,,
649,0.001,,,,,
649,,10,0.7662317752838135,,,
699,0.001,,,,,
699,,10,0.8122780323028564,,,
703,,10,,0.806128740310669,,
703,,10,,,0.8003822565078735,
704,0.001,,,,,
749,0.001,,,,,
749,,11,0.8328202366828918,,,
767,,11,,0.8043529987335205,,
767,,11,,,0.7982138395309448,
768,0.001,,,,,
799,0.001,,,,,
799,,12,0.8160194754600525,,,
831,,12,,0.8039158582687378,,
831,,12,,,0.7971668243408203,
832,0.001,,,,,
849,0.001,,,,,
849,,13,0.7859586477279663,,,
895,,13,,0.803069531917572,,
895,,13,,,0.796789288520813,
896,0.001,,,,,
899,0.001,,,,,
899,,14,0.7835051417350769,,,
949,0.001,,,,,
949,,14,0.7996718287467957,,,
959,,14,,0.8025863170623779,,
959,,14,,,0.796017050743103,
960,0.001,,,,,
999,0.001,,,,,
999,,15,0.8200104832649231,,,
1023,,15,,0.8022180795669556,,
1023,,15,,,0.795677661895752,
1024,0.001,,,,,
1049,0.001,,,,,
1049,,16,0.7886561751365662,,,
1087,,16,,0.8019577264785767,,
1087,,16,,,0.795470118522644,
1088,0.001,,,,,
1099,0.001,,,,,
1099,,17,0.8198931813240051,,,
1149,0.001,,,,,
1149,,17,0.7471022605895996,,,
1151,,17,,0.8018797636032104,,
1151,,17,,,0.7952540516853333,
1152,0.001,,,,,
1199,0.001,,,,,
1199,,18,0.794763445854187,,,
1215,,18,,0.8014528155326843,,
1215,,18,,,0.7950043678283691,
1216,0.001,,,,,
1249,0.001,,,,,
1249,,19,0.805417001247406,,,
1279,,19,,0.801433801651001,,
1279,,19,,,0.7952523231506348,
1280,0.001,,,,,
1299,0.001,,,,,
1299,,20,0.8023367524147034,,,
1343,,20,,0.8013633489608765,,
1343,,20,,,0.795015811920166,
1344,0.001,,,,,
1349,0.001,,,,,
1349,,21,0.7724249958992004,,,
1399,0.001,,,,,
1399,,21,0.7895898818969727,,,
1407,,21,,0.8011851906776428,,
1407,,21,,,0.7946662306785583,
1408,0.001,,,,,
1449,0.001,,,,,
1449,,22,0.7874248027801514,,,
1471,,22,,0.8011907935142517,,
1471,,22,,,0.7951453924179077,
1472,0.001,,,,,
1499,0.001,,,,,
1499,,23,0.7563058733940125,,,
1535,,23,,0.8010872602462769,,
1535,,23,,,0.7942994832992554,
1536,0.001,,,,,
1549,0.001,,,,,
1549,,24,0.809052586555481,,,
1599,0.001,,,,,
1599,,24,0.8179898262023926,,,
1599,,24,,0.8005954623222351,,
1599,,24,,,0.7940545678138733,
1600,0.001,,,,,
1649,0.001,,,,,
1649,,25,0.8134728074073792,,,
1663,,25,,0.8007002472877502,,
1663,,25,,,0.793989360332489,
1664,0.001,,,,,
1699,0.001,,,,,
1699,,26,0.804106593132019,,,
1727,,26,,0.8005896210670471,,
1727,,26,,,0.7941708564758301,
1728,0.001,,,,,
1749,0.001,,,,,
1749,,27,0.7857516407966614,,,
1791,,27,,0.8000589609146118,,
1791,,27,,,0.7936468720436096,
1792,0.001,,,,,
1799,0.001,,,,,
1799,,28,0.7811939120292664,,,
1849,0.001,,,,,
1849,,28,0.7806040048599243,,,
1855,,28,,0.8003142476081848,,
1855,,28,,,0.7936782240867615,
1856,0.001,,,,,
1899,0.001,,,,,
1899,,29,0.7820058465003967,,,
1919,,29,,0.8001044988632202,,
1919,,29,,,0.7933389544487,
1920,0.001,,,,,
1949,0.001,,,,,
1949,,30,0.7729875445365906,,,
1983,,30,,0.7997527122497559,,
1983,,30,,,0.7931342124938965,
1984,0.001,,,,,
1999,0.001,,,,,
1999,,31,0.7995936274528503,,,
2047,,31,,0.7996641993522644,,
2047,,31,,,0.7929880619049072,
2048,0.001,,,,,
2049,0.001,,,,,
2049,,32,0.8244650363922119,,,
2099,0.001,,,,,
2099,,32,0.8003014326095581,,,
2111,,32,,0.7995795607566833,,
2111,,32,,,0.7929707765579224,
2112,0.001,,,,,
2149,0.001,,,,,
2149,,33,0.7603986263275146,,,
2175,,33,,0.7999796271324158,,
2175,,33,,,0.7934218049049377,
2176,0.001,,,,,
2199,0.001,,,,,
2199,,34,0.7628838419914246,,,
2239,,34,,0.7995589375495911,,
2239,,34,,,0.7933515906333923,
2240,0.001,,,,,
2249,0.001,,,,,
2249,,35,0.7853496074676514,,,
2299,0.001,,,,,
2299,,35,0.8058075904846191,,,
2303,,35,,0.7993979454040527,,
2303,,35,,,0.7927142977714539,
2304,0.001,,,,,
2349,0.001,,,,,
2349,,36,0.7957185506820679,,,
2367,,36,,0.7991929650306702,,
2367,,36,,,0.792590856552124,
2368,0.001,,,,,
2399,0.001,,,,,
2399,,37,0.7915754318237305,,,
2431,,37,,0.7991839051246643,,
2431,,37,,,0.7925398945808411,
2432,0.001,,,,,
2449,0.001,,,,,
2449,,38,0.7878298163414001,,,
2495,,38,,0.7991105318069458,,
2495,,38,,,0.792589545249939,
2496,0.001,,,,,
2499,0.001,,,,,
2499,,39,0.7824360728263855,,,
2549,0.001,,,,,
2549,,39,0.7765551805496216,,,
2559,,39,,0.7997244596481323,,
2559,,39,,,0.792527973651886,
2560,0.001,,,,,
2599,0.001,,,,,
2599,,40,0.8085699677467346,,,
2623,,40,,0.799045979976654,,
2623,,40,,,0.7926052212715149,
2624,0.001,,,,,
2649,0.001,,,,,
2649,,41,0.79820317029953,,,
2687,,41,,0.7996429204940796,,
2687,,41,,,0.7925366163253784,
2688,0.001,,,,,
2699,0.001,,,,,
2699,,42,0.767055332660675,,,
2749,0.001,,,,,
2749,,42,0.7820940613746643,,,
2751,,42,,0.7988524436950684,,
2751,,42,,,0.7925546169281006,
2752,0.001,,,,,
2799,0.001,,,,,
2799,,43,0.7906635403633118,,,
