epoch,train_loss_step,lr-Adam,step,val_loss,train_loss_epoch,test_loss
,,0.001,0,,,
,,0.001,49,,,
0,0.13552598655223846,,49,,,
0,,,63,0.13034340739250183,,
0,,,63,,0.16031095385551453,
,,0.001,64,,,
,,0.001,99,,,
1,0.12737074494361877,,99,,,
1,,,127,0.1262688785791397,,
1,,,127,,0.12671984732151031,
,,0.001,128,,,
,,0.001,149,,,
2,0.1246785894036293,,149,,,
2,,,191,0.11832549422979355,,
2,,,191,,0.1227024644613266,
,,0.001,192,,,
,,0.001,199,,,
3,0.11703506112098694,,199,,,
,,0.001,249,,,
3,0.1126096174120903,,249,,,
3,,,255,0.11623483151197433,,
3,,,255,,0.1166454553604126,
,,0.001,256,,,
,,0.001,299,,,
4,0.11024574190378189,,299,,,
4,,,319,0.11282706260681152,,
4,,,319,,0.11199485510587692,
,,0.001,320,,,
,,0.001,349,,,
5,0.10935886204242706,,349,,,
5,,,383,0.10670098662376404,,
5,,,383,,0.10800182074308395,
,,0.001,384,,,
,,0.001,399,,,
6,0.10440081357955933,,399,,,
6,,,447,0.09784156084060669,,
6,,,447,,0.10000759363174438,
,,0.001,448,,,
,,0.001,449,,,
7,0.09606462717056274,,449,,,
,,0.001,499,,,
7,0.07794507592916489,,499,,,
7,,,511,0.05967452749609947,,
7,,,511,,0.08213365077972412,
,,0.001,512,,,
,,0.001,549,,,
8,0.05846231058239937,,549,,,
8,,,575,0.05511476472020149,,
8,,,575,,0.0595543272793293,
,,0.001,576,,,
,,0.001,599,,,
9,0.05904901400208473,,599,,,
9,,,639,0.05298200994729996,,
9,,,639,,0.055071085691452026,
,,0.001,640,,,
,,0.001,649,,,
10,0.056678611785173416,,649,,,
,,0.001,699,,,
10,0.04875770956277847,,699,,,
10,,,703,0.04880567640066147,,
10,,,703,,0.05338491499423981,
,,0.001,704,,,
,,0.001,749,,,
11,0.046538159251213074,,749,,,
11,,,767,0.04682837426662445,,
11,,,767,,0.04883265122771263,
,,0.001,768,,,
,,0.001,799,,,
12,0.049300312995910645,,799,,,
12,,,831,0.04635291174054146,,
12,,,831,,0.04737043008208275,
,,0.001,832,,,
,,0.001,849,,,
13,0.04613169655203819,,849,,,
13,,,895,0.043936774134635925,,
13,,,895,,0.045262131839990616,
,,0.001,896,,,
,,0.001,899,,,
14,0.04250006005167961,,899,,,
,,0.001,949,,,
14,0.04231235757470131,,949,,,
14,,,959,0.042251527309417725,,
14,,,959,,0.04486045613884926,
,,0.001,960,,,
,,0.001,999,,,
15,0.04348219186067581,,999,,,
15,,,1023,0.04264504462480545,,
15,,,1023,,0.0420745387673378,
,,0.001,1024,,,
,,0.001,1049,,,
16,0.04091503098607063,,1049,,,
16,,,1087,0.045429956167936325,,
16,,,1087,,0.0411846749484539,
,,0.001,1088,,,
,,0.001,1099,,,
17,0.03985461965203285,,1099,,,
,,0.001,1149,,,
17,0.03986552357673645,,1149,,,
17,,,1151,0.03891026973724365,,
17,,,1151,,0.03995111212134361,
,,0.001,1152,,,
,,0.001,1199,,,
18,0.03913656249642372,,1199,,,
18,,,1215,0.03803228214383125,,
18,,,1215,,0.039461467415094376,
,,0.001,1216,,,
,,0.001,1249,,,
19,0.03949896991252899,,1249,,,
19,,,1279,0.037516769021749496,,
19,,,1279,,0.03812342882156372,
,,0.001,1280,,,
,,0.001,1299,,,
20,0.03730698674917221,,1299,,,
20,,,1343,0.036039430648088455,,
20,,,1343,,0.037854090332984924,
,,0.001,1344,,,
,,0.001,1349,,,
21,0.04052452743053436,,1349,,,
,,0.001,1399,,,
21,0.03709222003817558,,1399,,,
21,,,1407,0.039007700979709625,,
21,,,1407,,0.037412624806165695,
,,0.001,1408,,,
,,0.001,1449,,,
22,0.035482246428728104,,1449,,,
22,,,1471,0.03832570090889931,,
22,,,1471,,0.03641286492347717,
,,0.001,1472,,,
,,0.001,1499,,,
23,0.034981101751327515,,1499,,,
23,,,1535,0.035130396485328674,,
23,,,1535,,0.03573864325881004,
,,0.001,1536,,,
,,0.001,1549,,,
24,0.03580426797270775,,1549,,,
,,0.001,1599,,,
24,0.03521139174699783,,1599,,,
24,,,1599,0.03427379950881004,,
24,,,1599,,0.03563673421740532,
,,0.001,1600,,,
,,0.001,1649,,,
25,0.03344453498721123,,1649,,,
25,,,1663,0.03369571268558502,,
25,,,1663,,0.03491448611021042,
,,0.001,1664,,,
,,0.001,1699,,,
26,0.03581176698207855,,1699,,,
26,,,1727,0.03478485345840454,,
26,,,1727,,0.03464736044406891,
,,0.001,1728,,,
,,0.001,1749,,,
27,0.037484727799892426,,1749,,,
27,,,1791,0.0372464656829834,,
27,,,1791,,0.03540012985467911,
,,0.001,1792,,,
,,0.001,1799,,,
28,0.05071661248803139,,1799,,,
,,0.001,1849,,,
28,0.034013260155916214,,1849,,,
28,,,1855,0.033377755433321,,
28,,,1855,,0.03689665347337723,
,,0.001,1856,,,
,,0.001,1899,,,
29,0.03528311848640442,,1899,,,
29,,,1919,0.03311588987708092,,
29,,,1919,,0.03433104604482651,
,,0.001,1920,,,
,,0.001,1949,,,
30,0.034858401864767075,,1949,,,
30,,,1983,0.03391474112868309,,
30,,,1983,,0.033390674740076065,
,,0.001,1984,,,
,,0.001,1999,,,
31,0.03333545848727226,,1999,,,
31,,,2047,0.03269600123167038,,
31,,,2047,,0.03309478983283043,
,,0.001,2048,,,
,,0.001,2049,,,
32,0.034060265868902206,,2049,,,
,,0.001,2099,,,
32,0.03155073896050453,,2099,,,
32,,,2111,0.03273046761751175,,
32,,,2111,,0.03297963738441467,
,,0.001,2112,,,
,,0.001,2149,,,
33,0.031786415725946426,,2149,,,
33,,,2175,0.03190111368894577,,
33,,,2175,,0.03252393379807472,
,,0.001,2176,,,
,,0.001,2199,,,
34,0.032624900341033936,,2199,,,
34,,,2239,0.03434878587722778,,
34,,,2239,,0.032707858830690384,
,,0.001,2240,,,
,,0.001,2249,,,
35,0.03371325880289078,,2249,,,
,,0.001,2299,,,
35,0.031102856621146202,,2299,,,
35,,,2303,0.03247865289449692,,
35,,,2303,,0.03282260522246361,
,,0.001,2304,,,
,,0.001,2349,,,
36,0.03150135651230812,,2349,,,
36,,,2367,0.03152273967862129,,
36,,,2367,,0.03184919059276581,
,,0.001,2368,,,
,,0.001,2399,,,
37,0.033059012144804,,2399,,,
37,,,2431,0.030882135033607483,,
37,,,2431,,0.0321158803999424,
,,0.001,2432,,,
,,0.001,2449,,,
38,0.03070901893079281,,2449,,,
38,,,2495,0.03128983825445175,,
38,,,2495,,0.03164725750684738,
,,0.001,2496,,,
,,0.001,2499,,,
39,0.030154595151543617,,2499,,,
,,0.001,2549,,,
39,0.03244693949818611,,2549,,,
39,,,2559,0.030566249042749405,,
39,,,2559,,0.03195038065314293,
,,0.001,2560,,,
,,0.001,2599,,,
40,0.03078281879425049,,2599,,,
40,,,2623,0.031653210520744324,,
40,,,2623,,0.031312935054302216,
,,0.001,2624,,,
,,0.001,2649,,,
41,0.0297048632055521,,2649,,,
41,,,2687,0.03183623030781746,,
41,,,2687,,0.03100775182247162,
,,0.001,2688,,,
,,0.001,2699,,,
42,0.03295137733221054,,2699,,,
,,0.001,2749,,,
42,0.030891988426446915,,2749,,,
42,,,2751,0.030016852542757988,,
42,,,2751,,0.030890215188264847,
,,0.001,2752,,,
,,0.001,2799,,,
43,0.030203185975551605,,2799,,,
43,,,2815,0.029834715649485588,,
43,,,2815,,0.030515681952238083,
,,0.001,2816,,,
,,0.001,2849,,,
44,0.03099815733730793,,2849,,,
44,,,2879,0.029886076226830482,,
44,,,2879,,0.030194593593478203,
,,0.001,2880,,,
,,0.001,2899,,,
45,0.02966146543622017,,2899,,,
45,,,2943,0.03051064908504486,,
45,,,2943,,0.029737891629338264,
,,0.001,2944,,,
,,0.001,2949,,,
46,0.0294936690479517,,2949,,,
,,0.001,2999,,,
46,0.028694594278931618,,2999,,,
46,,,3007,0.02935015968978405,,
46,,,3007,,0.029871709644794464,
,,0.001,3008,,,
,,0.001,3049,,,
47,0.030176853761076927,,3049,,,
47,,,3071,0.02887037768959999,,
47,,,3071,,0.03009982965886593,
,,0.001,3072,,,
,,0.001,3099,,,
48,0.02930935099720955,,3099,,,
48,,,3135,0.029574749991297722,,
48,,,3135,,0.02960873581469059,
,,0.001,3136,,,
,,0.001,3149,,,
49,0.029036441817879677,,3149,,,
,,0.001,3199,,,
49,0.0292066503316164,,3199,,,
49,,,3199,0.02857661247253418,,
49,,,3199,,0.02924407459795475,
,,0.001,3200,,,
,,0.001,3249,,,
50,0.02914530411362648,,3249,,,
