train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,0,0.001,,,
,,49,0.001,,,
0.8688933849334717,0,49,,,,
,0,63,,0.8592410683631897,,
,0,63,,,0.9350257515907288,
,,64,0.001,,,
,,99,0.001,,,
0.8245111703872681,1,99,,,,
,1,127,,0.847870945930481,,
,1,127,,,0.8504993319511414,
,,128,0.001,,,
,,149,0.001,,,
0.8351827263832092,2,149,,,,
,2,191,,0.8146474361419678,,
,2,191,,,0.8253860473632812,
,,192,0.001,,,
,,199,0.001,,,
0.8145524859428406,3,199,,,,
,,249,0.001,,,
0.8077722787857056,3,249,,,,
,3,255,,0.804265558719635,,
,3,255,,,0.8003209829330444,
,,256,0.001,,,
,,299,0.001,,,
0.7816311717033386,4,299,,,,
,4,319,,0.8050393462181091,,
,4,319,,,0.7967846989631653,
,,320,0.001,,,
,,349,0.001,,,
0.8010860085487366,5,349,,,,
,5,383,,0.8024718761444092,,
,5,383,,,0.7961907386779785,
,,384,0.001,,,
,,399,0.001,,,
0.7980561852455139,6,399,,,,
,6,447,,0.8025068640708923,,
,6,447,,,0.7955801486968994,
,,448,0.001,,,
,,449,0.001,,,
0.8199944496154785,7,449,,,,
,,499,0.001,,,
0.8177283406257629,7,499,,,,
,7,511,,0.8012323975563049,,
,7,511,,,0.7946520447731018,
,,512,0.001,,,
,,549,0.001,,,
0.7892529964447021,8,549,,,,
,8,575,,0.8006239533424377,,
,8,575,,,0.7946653366088867,
,,576,0.001,,,
,,599,0.001,,,
0.816107988357544,9,599,,,,
,9,639,,0.8001156449317932,,
,9,639,,,0.7935171127319336,
,,640,0.001,,,
,,649,0.001,,,
0.7846202850341797,10,649,,,,
,,699,0.001,,,
0.8141089081764221,10,699,,,,
,10,703,,0.7999236583709717,,
,10,703,,,0.7930859327316284,
,,704,0.001,,,
,,749,0.001,,,
0.7872051000595093,11,749,,,,
,11,767,,0.799050509929657,,
,11,767,,,0.7926710247993469,
,,768,0.001,,,
,,799,0.001,,,
0.8063089847564697,12,799,,,,
,12,831,,0.7999134063720703,,
,12,831,,,0.7922319769859314,
,,832,0.001,,,
,,849,0.001,,,
0.8011420369148254,13,849,,,,
,13,895,,0.7984503507614136,,
,13,895,,,0.7919053435325623,
,,896,0.001,,,
,,899,0.001,,,
0.8033618927001953,14,899,,,,
,,949,0.001,,,
0.7759302854537964,14,949,,,,
,14,959,,0.7981618642807007,,
,14,959,,,0.7916463613510132,
,,960,0.001,,,
,,999,0.001,,,
0.7805348038673401,15,999,,,,
,15,1023,,0.7978999614715576,,
,15,1023,,,0.79136723279953,
,,1024,0.001,,,
,,1049,0.001,,,
0.7950482964515686,16,1049,,,,
,16,1087,,0.7982645630836487,,
,16,1087,,,0.7912018895149231,
,,1088,0.001,,,
,,1099,0.001,,,
0.786590576171875,17,1099,,,,
,,1149,0.001,,,
0.7727751731872559,17,1149,,,,
,17,1151,,0.7975555062294006,,
,17,1151,,,0.791117250919342,
,,1152,0.001,,,
,,1199,0.001,,,
0.7980490326881409,18,1199,,,,
,18,1215,,0.7980738282203674,,
,18,1215,,,0.7910774946212769,
,,1216,0.001,,,
,,1249,0.001,,,
0.7743505835533142,19,1249,,,,
,19,1279,,0.7974537014961243,,
,19,1279,,,0.791144847869873,
,,1280,0.001,,,
,,1299,0.001,,,
0.7967584729194641,20,1299,,,,
,20,1343,,0.7973414063453674,,
,20,1343,,,0.7908234596252441,
,,1344,0.001,,,
,,1349,0.001,,,
0.7988450527191162,21,1349,,,,
,,1399,0.001,,,
0.7984640002250671,21,1399,,,,
,21,1407,,0.7973020076751709,,
,21,1407,,,0.7906873226165771,
,,1408,0.001,,,
,,1449,0.001,,,
0.803598165512085,22,1449,,,,
,22,1471,,0.7970952391624451,,
,22,1471,,,0.7905291318893433,
,,1472,0.001,,,
,,1499,0.001,,,
0.7858685851097107,23,1499,,,,
,23,1535,,0.7973537445068359,,
,23,1535,,,0.790802001953125,
,,1536,0.001,,,
,,1549,0.001,,,
0.7721892595291138,24,1549,,,,
,,1599,0.001,,,
0.7756747603416443,24,1599,,,,
,24,1599,,0.7969241738319397,,
,24,1599,,,0.7904460430145264,
,,1600,0.001,,,
,,1649,0.001,,,
0.8098971247673035,25,1649,,,,
,25,1663,,0.7969490885734558,,
,25,1663,,,0.7902259230613708,
,,1664,0.001,,,
,,1699,0.001,,,
0.7955701947212219,26,1699,,,,
,26,1727,,0.7970471382141113,,
,26,1727,,,0.7905639410018921,
,,1728,0.001,,,
,,1749,0.001,,,
0.8058635592460632,27,1749,,,,
,27,1791,,0.796822726726532,,
,27,1791,,,0.7901230454444885,
,,1792,0.001,,,
,,1799,0.001,,,
0.7876852750778198,28,1799,,,,
,,1849,0.001,,,
0.7828329801559448,28,1849,,,,
,28,1855,,0.7970075607299805,,
,28,1855,,,0.7904024720191956,
,,1856,0.001,,,
,,1899,0.001,,,
0.7846466302871704,29,1899,,,,
,29,1919,,0.7967414259910583,,
,29,1919,,,0.7902518510818481,
,,1920,0.001,,,
,,1949,0.001,,,
0.7964810729026794,30,1949,,,,
,30,1983,,0.796627402305603,,
,30,1983,,,0.7899525165557861,
,,1984,0.001,,,
,,1999,0.001,,,
0.8190674781799316,31,1999,,,,
,31,2047,,0.7965837717056274,,
,31,2047,,,0.7898305058479309,
,,2048,0.001,,,
,,2049,0.001,,,
0.7831032872200012,32,2049,,,,
,,2099,0.001,,,
0.7944597601890564,32,2099,,,,
,32,2111,,0.796781599521637,,
,32,2111,,,0.7898464798927307,
,,2112,0.001,,,
,,2149,0.001,,,
0.8027468323707581,33,2149,,,,
,33,2175,,0.7964654564857483,,
,33,2175,,,0.789833128452301,
,,2176,0.001,,,
,,2199,0.001,,,
0.8151156902313232,34,2199,,,,
,34,2239,,0.7964462637901306,,
,34,2239,,,0.7897784113883972,
,,2240,0.001,,,
,,2249,0.001,,,
0.790627658367157,35,2249,,,,
,,2299,0.001,,,
0.805357813835144,35,2299,,,,
,35,2303,,0.7964919209480286,,
,35,2303,,,0.7897166609764099,
,,2304,0.001,,,
,,2349,0.001,,,
0.7883753180503845,36,2349,,,,
,36,2367,,0.796360433101654,,
,36,2367,,,0.7896586060523987,
,,2368,0.001,,,
,,2399,0.001,,,
0.7576717138290405,37,2399,,,,
,37,2431,,0.7964980602264404,,
,37,2431,,,0.7897648215293884,
,,2432,0.001,,,
,,2449,0.001,,,
0.8018284440040588,38,2449,,,,
,38,2495,,0.796646237373352,,
,38,2495,,,0.7896443605422974,
,,2496,0.001,,,
,,2499,0.001,,,
0.8155631422996521,39,2499,,,,
,,2549,0.001,,,
0.789450466632843,39,2549,,,,
,39,2559,,0.7967754602432251,,
,39,2559,,,0.789767861366272,
,,2560,0.001,,,
,,2599,0.001,,,
0.7816434502601624,40,2599,,,,
,40,2623,,0.7963272929191589,,
,40,2623,,,0.7895833253860474,
,,2624,0.001,,,
,,2649,0.001,,,
0.8229652047157288,41,2649,,,,
,41,2687,,0.7962019443511963,,
,41,2687,,,0.7894455790519714,
,,2688,0.001,,,
,,2699,0.001,,,
0.8241710066795349,42,2699,,,,
,,2749,0.001,,,
0.8067107200622559,42,2749,,,,
,42,2751,,0.7961430549621582,,
,42,2751,,,0.7895036339759827,
,,2752,0.001,,,
,,2799,0.001,,,
0.8060488104820251,43,2799,,,,
