lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
0.001,,0,,,,
0.001,,49,,,,
,0.14134854078292847,49,0,,,
,,63,0,0.13677477836608887,,
,,63,0,,0.18522702157497406,
0.001,,64,,,,
0.001,,99,,,,
,0.12712043523788452,99,1,,,
,,127,1,0.11770093441009521,,
,,127,1,,0.12705720961093903,
0.001,,128,,,,
0.001,,149,,,,
,0.09406352043151855,149,2,,,
,,191,2,0.05961580574512482,,
,,191,2,,0.08813990652561188,
0.001,,192,,,,
0.001,,199,,,,
,0.059946391731500626,199,3,,,
0.001,,249,,,,
,0.05748634412884712,249,3,,,
,,255,3,0.0535883903503418,,
,,255,3,,0.057361047714948654,
0.001,,256,,,,
0.001,,299,,,,
,0.045900363475084305,299,4,,,
,,319,4,0.047404371201992035,,
,,319,4,,0.050266217440366745,
0.001,,320,,,,
0.001,,349,,,,
,0.0448477603495121,349,5,,,
,,383,5,0.04553314298391342,,
,,383,5,,0.04618985950946808,
0.001,,384,,,,
0.001,,399,,,,
,0.040112584829330444,399,6,,,
,,447,6,0.03976387530565262,,
,,447,6,,0.042790889739990234,
0.001,,448,,,,
0.001,,449,,,,
,0.04242105036973953,449,7,,,
0.001,,499,,,,
,0.03562492877244949,499,7,,,
,,511,7,0.03634168580174446,,
,,511,7,,0.03802412375807762,
0.001,,512,,,,
0.001,,549,,,,
,0.034991346299648285,549,8,,,
,,575,8,0.031591594219207764,,
,,575,8,,0.03394992649555206,
0.001,,576,,,,
0.001,,599,,,,
,0.03193209692835808,599,9,,,
,,639,9,0.031586747616529465,,
,,639,9,,0.03027411177754402,
0.001,,640,,,,
0.001,,649,,,,
,0.028932441025972366,649,10,,,
0.001,,699,,,,
,0.025974946096539497,699,10,,,
,,703,10,0.025616386905312538,,
,,703,10,,0.027788326144218445,
0.001,,704,,,,
0.001,,749,,,,
,0.027165638282895088,749,11,,,
,,767,11,0.02455814555287361,,
,,767,11,,0.025345543399453163,
0.001,,768,,,,
0.001,,799,,,,
,0.026103196665644646,799,12,,,
,,831,12,0.0241478830575943,,
,,831,12,,0.02479485049843788,
0.001,,832,,,,
0.001,,849,,,,
,0.02648315764963627,849,13,,,
,,895,13,0.022787248715758324,,
,,895,13,,0.023715374991297722,
0.001,,896,,,,
0.001,,899,,,,
,0.02054009959101677,899,14,,,
0.001,,949,,,,
,0.020964108407497406,949,14,,,
,,959,14,0.02221924066543579,,
,,959,14,,0.022704122588038445,
0.001,,960,,,,
0.001,,999,,,,
,0.023711828514933586,999,15,,,
,,1023,15,0.022924501448869705,,
,,1023,15,,0.022499334067106247,
0.001,,1024,,,,
0.001,,1049,,,,
,0.020725101232528687,1049,16,,,
,,1087,16,0.0218134094029665,,
,,1087,16,,0.02205817960202694,
0.001,,1088,,,,
0.001,,1099,,,,
,0.022125041112303734,1099,17,,,
0.001,,1149,,,,
,0.02200941927731037,1149,17,,,
,,1151,17,0.021835941821336746,,
,,1151,17,,0.021808257326483727,
0.001,,1152,,,,
0.001,,1199,,,,
,0.022134440019726753,1199,18,,,
,,1215,18,0.020861458033323288,,
,,1215,18,,0.021736886352300644,
0.001,,1216,,,,
0.001,,1249,,,,
,0.022499894723296165,1249,19,,,
,,1279,19,0.02033967524766922,,
,,1279,19,,0.020986407995224,
0.001,,1280,,,,
0.001,,1299,,,,
,0.02020803838968277,1299,20,,,
,,1343,20,0.020135167986154556,,
,,1343,20,,0.020669838413596153,
0.001,,1344,,,,
0.001,,1349,,,,
,0.019730951637029648,1349,21,,,
0.001,,1399,,,,
,0.02279764786362648,1399,21,,,
,,1407,21,0.01946980133652687,,
,,1407,21,,0.02043073996901512,
0.001,,1408,,,,
0.001,,1449,,,,
,0.020723694935441017,1449,22,,,
,,1471,22,0.019771762192249298,,
,,1471,22,,0.020147625356912613,
0.001,,1472,,,,
0.001,,1499,,,,
,0.02200327254831791,1499,23,,,
,,1535,23,0.019268931820988655,,
,,1535,23,,0.020002877339720726,
0.001,,1536,,,,
0.001,,1549,,,,
,0.020839771255850792,1549,24,,,
0.001,,1599,,,,
,0.01830754615366459,1599,24,,,
,,1599,24,0.018938973546028137,,
,,1599,24,,0.01969837211072445,
0.001,,1600,,,,
0.001,,1649,,,,
,0.018728991970419884,1649,25,,,
,,1663,25,0.018650611862540245,,
,,1663,25,,0.019129429012537003,
0.001,,1664,,,,
0.001,,1699,,,,
,0.01698874495923519,1699,26,,,
,,1727,26,0.019072478637099266,,
,,1727,26,,0.019552232697606087,
0.001,,1728,,,,
0.001,,1749,,,,
,0.016745353117585182,1749,27,,,
,,1791,27,0.018205244094133377,,
,,1791,27,,0.01896556094288826,
0.001,,1792,,,,
0.001,,1799,,,,
,0.019446898251771927,1799,28,,,
0.001,,1849,,,,
,0.018226604908704758,1849,28,,,
,,1855,28,0.0183575339615345,,
,,1855,28,,0.01881612278521061,
0.001,,1856,,,,
0.001,,1899,,,,
,0.019283538684248924,1899,29,,,
,,1919,29,0.01854529231786728,,
,,1919,29,,0.018987853080034256,
0.001,,1920,,,,
0.001,,1949,,,,
,0.01754290983080864,1949,30,,,
,,1983,30,0.018179254606366158,,
,,1983,30,,0.018376069143414497,
0.001,,1984,,,,
0.001,,1999,,,,
,0.01922936551272869,1999,31,,,
,,2047,31,0.01737094670534134,,
,,2047,31,,0.018220892176032066,
0.001,,2048,,,,
0.001,,2049,,,,
,0.018764525651931763,2049,32,,,
0.001,,2099,,,,
,0.01964673586189747,2099,32,,,
,,2111,32,0.017678314819931984,,
,,2111,32,,0.01807969994843006,
0.001,,2112,,,,
0.001,,2149,,,,
,0.01567390374839306,2149,33,,,
,,2175,33,0.01774991676211357,,
,,2175,33,,0.017955509945750237,
0.001,,2176,,,,
0.001,,2199,,,,
,0.01877778209745884,2199,34,,,
,,2239,34,0.01842375658452511,,
,,2239,34,,0.018062934279441833,
0.001,,2240,,,,
0.001,,2249,,,,
,0.017275100573897362,2249,35,,,
0.001,,2299,,,,
,0.019951529800891876,2299,35,,,
,,2303,35,0.017544573172926903,,
,,2303,35,,0.018000900745391846,
0.001,,2304,,,,
0.001,,2349,,,,
,0.01695293001830578,2349,36,,,
,,2367,36,0.017017047852277756,,
,,2367,36,,0.017749493941664696,
0.001,,2368,,,,
0.001,,2399,,,,
,0.019540010020136833,2399,37,,,
,,2431,37,0.017004607245326042,,
,,2431,37,,0.017731521278619766,
0.001,,2432,,,,
0.001,,2449,,,,
,0.018141809850931168,2449,38,,,
,,2495,38,0.01686648465692997,,
,,2495,38,,0.017458466812968254,
0.001,,2496,,,,
0.001,,2499,,,,
,0.01778392866253853,2499,39,,,
0.001,,2549,,,,
,0.019429538398981094,2549,39,,,
,,2559,39,0.01716879941523075,,
,,2559,39,,0.01767474040389061,
0.001,,2560,,,,
0.001,,2599,,,,
,0.01856624148786068,2599,40,,,
,,2623,40,0.01691044308245182,,
,,2623,40,,0.017482023686170578,
0.001,,2624,,,,
0.001,,2649,,,,
,0.01948571763932705,2649,41,,,
,,2687,41,0.0165589340031147,,
,,2687,41,,0.01782059110701084,
0.001,,2688,,,,
0.001,,2699,,,,
,0.01713516004383564,2699,42,,,
0.001,,2749,,,,
,0.016237743198871613,2749,42,,,
,,2751,42,0.016612889245152473,,
,,2751,42,,0.01712363213300705,
0.001,,2752,,,,
0.001,,2799,,,,
,0.01686074770987034,2799,43,,,
,,2815,43,0.016872581094503403,,
,,2815,43,,0.017317069694399834,
0.001,,2816,,,,
0.001,,2849,,,,
,0.018678542226552963,2849,44,,,
,,2879,44,0.016347071155905724,,
,,2879,44,,0.017291245982050896,
0.001,,2880,,,,
0.001,,2899,,,,
,0.017053918913006783,2899,45,,,
,,2943,45,0.01632327027618885,,
,,2943,45,,0.01704948954284191,
0.001,,2944,,,,
0.001,,2949,,,,
,0.01690913364291191,2949,46,,,
0.001,,2999,,,,
,0.016671452671289444,2999,46,,,
,,3007,46,0.016505775973200798,,
,,3007,46,,0.017098449170589447,
0.001,,3008,,,,
0.001,,3049,,,,
,0.017582112923264503,3049,47,,,
,,3071,47,0.016233166679739952,,
,,3071,47,,0.016974270343780518,
0.001,,3072,,,,
0.001,,3099,,,,
,0.016296716406941414,3099,48,,,
,,3135,48,0.016260894015431404,,
,,3135,48,,0.01693889871239662,
0.001,,3136,,,,
0.001,,3149,,,,
,0.016758369281888008,3149,49,,,
0.001,,3199,,,,
,0.017048371955752373,3199,49,,,
,,3199,49,0.016881443560123444,,
,,3199,49,,0.016849230974912643,
0.001,,3200,,,,
0.001,,3249,,,,
,0.01501422468572855,3249,50,,,
