lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch
0.001,0,,,,
0.001,49,,,,
,49,0.3522796630859375,0,,
,63,,0,0.21960726380348206,
,63,,0,,0.44228672981262207
0.001,64,,,,
0.001,99,,,,
,99,0.35007748007774353,1,,
,127,,1,0.1728934347629547,
,127,,1,,0.4079644978046417
0.001,128,,,,
0.001,149,,,,
,149,0.2617497444152832,2,,
,191,,2,0.10992558300495148,
,191,,2,,0.34844666719436646
0.001,192,,,,
0.001,199,,,,
,199,0.4316619634628296,3,,
0.001,249,,,,
,249,0.35688838362693787,3,,
,255,,3,0.07821419835090637,
,255,,3,,0.30457526445388794
0.001,256,,,,
0.001,299,,,,
,299,0.2672385275363922,4,,
,319,,4,0.06791800260543823,
,319,,4,,0.28653618693351746
0.001,320,,,,
0.001,349,,,,
,349,0.2124684602022171,5,,
,383,,5,0.06669770181179047,
,383,,5,,0.2742426097393036
0.001,384,,,,
0.001,399,,,,
,399,0.16124743223190308,6,,
,447,,6,0.05911669507622719,
,447,,6,,0.2697065472602844
0.001,448,,,,
0.001,449,,,,
,449,0.32637226581573486,7,,
0.001,499,,,,
,499,0.30101481080055237,7,,
,511,,7,0.05667409673333168,
,511,,7,,0.26229870319366455
0.001,512,,,,
0.001,549,,,,
,549,0.16840894520282745,8,,
,575,,8,0.05938170105218887,
,575,,8,,0.25812700390815735
0.001,576,,,,
0.001,599,,,,
,599,0.29237475991249084,9,,
,639,,9,0.048941921442747116,
,639,,9,,0.2533166706562042
0.001,640,,,,
0.001,649,,,,
,649,0.29359689354896545,10,,
0.001,699,,,,
,699,0.1672765612602234,10,,
,703,,10,0.05110320821404457,
,703,,10,,0.24884763360023499
0.001,704,,,,
0.001,749,,,,
,749,0.26933178305625916,11,,
,767,,11,0.04925885424017906,
,767,,11,,0.2513279616832733
0.001,768,,,,
0.001,799,,,,
,799,0.26756229996681213,12,,
,831,,12,0.04587307572364807,
,831,,12,,0.24825334548950195
0.001,832,,,,
0.001,849,,,,
,849,0.26969024538993835,13,,
,895,,13,0.051461946219205856,
,895,,13,,0.24675408005714417
0.001,896,,,,
0.001,899,,,,
,899,0.28590452671051025,14,,
0.001,949,,,,
,949,0.2738596498966217,14,,
,959,,14,0.04623977094888687,
,959,,14,,0.2462066262960434
0.001,960,,,,
0.001,999,,,,
,999,0.22406361997127533,15,,
,1023,,15,0.04138888046145439,
,1023,,15,,0.24366433918476105
0.001,1024,,,,
0.001,1049,,,,
,1049,0.35188472270965576,16,,
,1087,,16,0.044359222054481506,
,1087,,16,,0.2447061687707901
0.001,1088,,,,
0.001,1099,,,,
,1099,0.2641865313053131,17,,
0.001,1149,,,,
,1149,0.292885422706604,17,,
,1151,,17,0.045819539576768875,
,1151,,17,,0.24130602180957794
0.001,1152,,,,
0.001,1199,,,,
,1199,0.14711420238018036,18,,
,1215,,18,0.04948358237743378,
,1215,,18,,0.24503977596759796
0.001,1216,,,,
0.001,1249,,,,
,1249,0.2509290277957916,19,,
,1279,,19,0.041207607835531235,
,1279,,19,,0.2443946897983551
0.001,1280,,,,
0.001,1299,,,,
,1299,0.20993635058403015,20,,
,1343,,20,0.04575175791978836,
,1343,,20,,0.23991672694683075
0.001,1344,,,,
0.001,1349,,,,
,1349,0.3251792788505554,21,,
0.001,1399,,,,
,1399,0.2111099809408188,21,,
,1407,,21,0.04070446640253067,
,1407,,21,,0.2358797788619995
0.001,1408,,,,
0.001,1449,,,,
,1449,0.3152916431427002,22,,
,1471,,22,0.042538683861494064,
,1471,,22,,0.2395223081111908
0.001,1472,,,,
0.001,1499,,,,
,1499,0.1940940022468567,23,,
,1535,,23,0.03941422328352928,
,1535,,23,,0.23668725788593292
0.001,1536,,,,
0.001,1549,,,,
,1549,0.2908392548561096,24,,
0.001,1599,,,,
,1599,0.3454049825668335,24,,
,1599,,24,0.04369198903441429,
,1599,,24,,0.24153859913349152
0.001,1600,,,,
0.001,1649,,,,
,1649,0.22264564037322998,25,,
,1663,,25,0.04310905933380127,
,1663,,25,,0.23838327825069427
0.001,1664,,,,
0.001,1699,,,,
,1699,0.22133778035640717,26,,
,1727,,26,0.039484310895204544,
,1727,,26,,0.23570632934570312
0.001,1728,,,,
0.001,1749,,,,
,1749,0.2732318937778473,27,,
,1791,,27,0.036551155149936676,
,1791,,27,,0.23601850867271423
0.001,1792,,,,
0.001,1799,,,,
,1799,0.272678405046463,28,,
0.001,1849,,,,
,1849,0.23769262433052063,28,,
,1855,,28,0.035241711884737015,
,1855,,28,,0.23271851241588593
0.001,1856,,,,
0.001,1899,,,,
,1899,0.268172025680542,29,,
,1919,,29,0.03714623674750328,
,1919,,29,,0.23570066690444946
0.001,1920,,,,
0.001,1949,,,,
,1949,0.20816192030906677,30,,
,1983,,30,0.037083663046360016,
,1983,,30,,0.23238596320152283
0.001,1984,,,,
0.001,1999,,,,
,1999,0.35820916295051575,31,,
,2047,,31,0.03849244862794876,
,2047,,31,,0.23247592151165009
0.001,2048,,,,
0.001,2049,,,,
,2049,0.2712232768535614,32,,
0.001,2099,,,,
,2099,0.17325088381767273,32,,
,2111,,32,0.033806681632995605,
,2111,,32,,0.23139990866184235
0.001,2112,,,,
0.001,2149,,,,
,2149,0.1929130107164383,33,,
,2175,,33,0.035667095333337784,
,2175,,33,,0.22860029339790344
0.001,2176,,,,
0.001,2199,,,,
,2199,0.17572477459907532,34,,
,2239,,34,0.03449857980012894,
,2239,,34,,0.22755077481269836
0.001,2240,,,,
0.001,2249,,,,
,2249,0.2651946544647217,35,,
0.001,2299,,,,
,2299,0.24977155029773712,35,,
,2303,,35,0.032528020441532135,
,2303,,35,,0.22798748314380646
0.001,2304,,,,
0.001,2349,,,,
,2349,0.11565336585044861,36,,
,2367,,36,0.034720297902822495,
,2367,,36,,0.22728942334651947
0.001,2368,,,,
0.001,2399,,,,
,2399,0.20869867503643036,37,,
,2431,,37,0.041002366691827774,
,2431,,37,,0.22981061041355133
0.001,2432,,,,
0.001,2449,,,,
,2449,0.18087360262870789,38,,
,2495,,38,0.03172304481267929,
,2495,,38,,0.22907193005084991
0.001,2496,,,,
0.001,2499,,,,
,2499,0.15520378947257996,39,,
0.001,2549,,,,
,2549,0.28759804368019104,39,,
,2559,,39,0.03040832281112671,
,2559,,39,,0.22333116829395294
0.001,2560,,,,
0.001,2599,,,,
,2599,0.21749034523963928,40,,
,2623,,40,0.03125377371907234,
,2623,,40,,0.2275232970714569
0.001,2624,,,,
0.001,2649,,,,
,2649,0.23941168189048767,41,,
,2687,,41,0.03143995255231857,
,2687,,41,,0.22624734044075012
0.001,2688,,,,
0.001,2699,,,,
,2699,0.20028555393218994,42,,
0.001,2749,,,,
,2749,0.211226224899292,42,,
,2751,,42,0.030150890350341797,
,2751,,42,,0.22577118873596191
0.001,2752,,,,
0.001,2799,,,,
,2799,0.2943313717842102,43,,
,2815,,43,0.033664099872112274,
,2815,,43,,0.224636510014534
0.001,2816,,,,
0.001,2849,,,,
,2849,0.2790766656398773,44,,
,2879,,44,0.028963163495063782,
,2879,,44,,0.22628211975097656
0.001,2880,,,,
0.001,2899,,,,
,2899,0.19153213500976562,45,,
,2943,,45,0.03173268213868141,
,2943,,45,,0.22376704216003418
0.001,2944,,,,
0.001,2949,,,,
,2949,0.24811501801013947,46,,
0.001,2999,,,,
,2999,0.3587006628513336,46,,
,3007,,46,0.030554641038179398,
,3007,,46,,0.22284463047981262
0.001,3008,,,,
0.001,3049,,,,
,3049,0.22333745658397675,47,,
,3071,,47,0.030814608559012413,
,3071,,47,,0.22405436635017395
0.001,3072,,,,
0.001,3099,,,,
,3099,0.258349746465683,48,,
,3135,,48,0.030434755608439445,
,3135,,48,,0.228158637881279
0.001,3136,,,,
0.001,3149,,,,
,3149,0.19001013040542603,49,,
0.001,3199,,,,
,3199,0.3127586841583252,49,,
,3199,,49,0.030763695016503334,
,3199,,49,,0.22190849483013153
0.001,3200,,,,
0.001,3249,,,,
,3249,0.2733951807022095,50,,
,3263,,50,0.02889222279191017,
,3263,,50,,0.22299256920814514
0.001,3264,,,,
0.001,3299,,,,
,3299,0.23450127243995667,51,,
,3327,,51,0.03460681065917015,
,3327,,51,,0.2229277491569519
0.001,3328,,,,
0.001,3349,,,,
,3349,0.19202595949172974,52,,
,3391,,52,0.031086428090929985,
,3391,,52,,0.22240369021892548
0.001,3392,,,,
0.001,3399,,,,
,3399,0.20077335834503174,53,,
0.001,3449,,,,
,3449,0.24268221855163574,53,,
,3455,,53,0.02853160724043846,
,3455,,53,,0.22172069549560547
0.001,3456,,,,
