lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch,test_loss
0.001,0,,,,,
0.001,49,,,,,
,49,0.20904721319675446,0,,,
,63,,0,0.2128896862268448,,
,63,,0,,0.24174316227436066,
0.001,64,,,,,
0.001,99,,,,,
,99,0.19360187649726868,1,,,
,127,,1,0.19729597866535187,,
,127,,1,,0.20002508163452148,
0.001,128,,,,,
0.001,149,,,,,
,149,0.19271433353424072,2,,,
,191,,2,0.19491268694400787,,
,191,,2,,0.19550257921218872,
0.001,192,,,,,
0.001,199,,,,,
,199,0.19491338729858398,3,,,
0.001,249,,,,,
,249,0.19051533937454224,3,,,
,255,,3,0.19117294251918793,,
,255,,3,,0.1934487521648407,
0.001,256,,,,,
0.001,299,,,,,
,299,0.19007262587547302,4,,,
,319,,4,0.19010135531425476,,
,319,,4,,0.1913643777370453,
0.001,320,,,,,
0.001,349,,,,,
,349,0.19061364233493805,5,,,
,383,,5,0.1897049993276596,,
,383,,5,,0.19084657728672028,
0.001,384,,,,,
0.001,399,,,,,
,399,0.1904105246067047,6,,,
,447,,6,0.1887618452310562,,
,447,,6,,0.1900014579296112,
0.001,448,,,,,
0.001,449,,,,,
,449,0.19049374759197235,7,,,
0.001,499,,,,,
,499,0.18875102698802948,7,,,
,511,,7,0.18818019330501556,,
,511,,7,,0.18957947194576263,
0.001,512,,,,,
0.001,549,,,,,
,549,0.18786661326885223,8,,,
,575,,8,0.18874023854732513,,
,575,,8,,0.18896125257015228,
0.001,576,,,,,
0.001,599,,,,,
,599,0.1885504424571991,9,,,
,639,,9,0.18780671060085297,,
,639,,9,,0.18863451480865479,
0.001,640,,,,,
0.001,649,,,,,
,649,0.1865597516298294,10,,,
0.001,699,,,,,
,699,0.18890464305877686,10,,,
,703,,10,0.18938414752483368,,
,703,,10,,0.18873721361160278,
0.001,704,,,,,
0.001,749,,,,,
,749,0.18856774270534515,11,,,
,767,,11,0.18725624680519104,,
,767,,11,,0.18834234774112701,
0.001,768,,,,,
0.001,799,,,,,
,799,0.18755844235420227,12,,,
,831,,12,0.18708443641662598,,
,831,,12,,0.18802161514759064,
0.001,832,,,,,
0.001,849,,,,,
,849,0.18761619925498962,13,,,
,895,,13,0.18757590651512146,,
,895,,13,,0.18787184357643127,
0.001,896,,,,,
0.001,899,,,,,
,899,0.18866682052612305,14,,,
0.001,949,,,,,
,949,0.1868053525686264,14,,,
,959,,14,0.18746167421340942,,
,959,,14,,0.1877594292163849,
0.001,960,,,,,
0.001,999,,,,,
,999,0.18826815485954285,15,,,
,1023,,15,0.18726661801338196,,
,1023,,15,,0.1876988410949707,
0.001,1024,,,,,
0.001,1049,,,,,
,1049,0.18685400485992432,16,,,
,1087,,16,0.18658670783042908,,
,1087,,16,,0.18727807700634003,
0.001,1088,,,,,
0.001,1099,,,,,
,1099,0.1851993054151535,17,,,
0.001,1149,,,,,
,1149,0.1870923936367035,17,,,
,1151,,17,0.18678446114063263,,
,1151,,17,,0.1871476024389267,
0.001,1152,,,,,
0.001,1199,,,,,
,1199,0.18683040142059326,18,,,
,1215,,18,0.18645429611206055,,
,1215,,18,,0.18701507151126862,
0.001,1216,,,,,
0.001,1249,,,,,
,1249,0.18743059039115906,19,,,
,1279,,19,0.18619197607040405,,
,1279,,19,,0.1869143694639206,
0.001,1280,,,,,
0.001,1299,,,,,
,1299,0.18704810738563538,20,,,
,1343,,20,0.18613995611667633,,
,1343,,20,,0.18686479330062866,
0.001,1344,,,,,
0.001,1349,,,,,
,1349,0.18492208421230316,21,,,
0.001,1399,,,,,
,1399,0.1895144283771515,21,,,
,1407,,21,0.1862693876028061,,
,1407,,21,,0.18688376247882843,
0.001,1408,,,,,
0.001,1449,,,,,
,1449,0.186819925904274,22,,,
,1471,,22,0.18895041942596436,,
,1471,,22,,0.18671080470085144,
0.001,1472,,,,,
0.001,1499,,,,,
,1499,0.19074776768684387,23,,,
,1535,,23,0.18587321043014526,,
,1535,,23,,0.18776586651802063,
0.001,1536,,,,,
0.001,1549,,,,,
,1549,0.18502268195152283,24,,,
0.001,1599,,,,,
,1599,0.18737643957138062,24,,,
,1599,,24,0.185830757021904,,
,1599,,24,,0.18634352087974548,
0.001,1600,,,,,
0.001,1649,,,,,
,1649,0.18563657999038696,25,,,
,1663,,25,0.18572711944580078,,
,1663,,25,,0.18629667162895203,
0.001,1664,,,,,
0.001,1699,,,,,
,1699,0.18548262119293213,26,,,
,1727,,26,0.18647553026676178,,
,1727,,26,,0.18626496195793152,
0.001,1728,,,,,
0.001,1749,,,,,
,1749,0.18572744727134705,27,,,
,1791,,27,0.1856008917093277,,
,1791,,27,,0.1862718164920807,
0.001,1792,,,,,
0.001,1799,,,,,
,1799,0.18707701563835144,28,,,
0.001,1849,,,,,
,1849,0.18658268451690674,28,,,
,1855,,28,0.18549054861068726,,
,1855,,28,,0.18603473901748657,
0.001,1856,,,,,
0.001,1899,,,,,
,1899,0.18514272570610046,29,,,
,1919,,29,0.185508593916893,,
,1919,,29,,0.18600720167160034,
0.001,1920,,,,,
0.001,1949,,,,,
,1949,0.18598537147045135,30,,,
,1983,,30,0.18536721169948578,,
,1983,,30,,0.18594926595687866,
0.001,1984,,,,,
0.001,1999,,,,,
,1999,0.18717807531356812,31,,,
,2047,,31,0.18538537621498108,,
,2047,,31,,0.18593019247055054,
0.001,2048,,,,,
0.001,2049,,,,,
,2049,0.18644389510154724,32,,,
0.001,2099,,,,,
,2099,0.18569596111774445,32,,,
,2111,,32,0.18539349734783173,,
,2111,,32,,0.18593718111515045,
0.001,2112,,,,,
0.001,2149,,,,,
,2149,0.1856939196586609,33,,,
,2175,,33,0.18581122159957886,,
,2175,,33,,0.1859910935163498,
0.001,2176,,,,,
0.001,2199,,,,,
,2199,0.18652841448783875,34,,,
,2239,,34,0.18538469076156616,,
,2239,,34,,0.18583546578884125,
0.001,2240,,,,,
0.001,2249,,,,,
,2249,0.18469803035259247,35,,,
0.001,2299,,,,,
,2299,0.18587860465049744,35,,,
,2303,,35,0.1852126121520996,,
,2303,,35,,0.18583200871944427,
0.001,2304,,,,,
0.001,2349,,,,,
,2349,0.1873893439769745,36,,,
,2367,,36,0.18567641079425812,,
,2367,,36,,0.18581952154636383,
0.001,2368,,,,,
0.001,2399,,,,,
,2399,0.18560121953487396,37,,,
,2431,,37,0.1851353794336319,,
,2431,,37,,0.18581341207027435,
0.001,2432,,,,,
0.001,2449,,,,,
,2449,0.18717096745967865,38,,,
,2495,,38,0.18508952856063843,,
,2495,,38,,0.18582962453365326,
0.001,2496,,,,,
0.001,2499,,,,,
,2499,0.18708102405071259,39,,,
0.001,2549,,,,,
,2549,0.18611502647399902,39,,,
,2559,,39,0.18543194234371185,,
,2559,,39,,0.18572746217250824,
0.001,2560,,,,,
0.001,2599,,,,,
,2599,0.18521568179130554,40,,,
,2623,,40,0.18579372763633728,,
,2623,,40,,0.1859152764081955,
0.001,2624,,,,,
0.001,2649,,,,,
,2649,0.1849050223827362,41,,,
,2687,,41,0.1851370483636856,,
,2687,,41,,0.18692654371261597,
0.001,2688,,,,,
0.001,2699,,,,,
,2699,0.18428562581539154,42,,,
0.001,2749,,,,,
,2749,0.18531541526317596,42,,,
,2751,,42,0.1850249320268631,,
,2751,,42,,0.1856158971786499,
0.001,2752,,,,,
0.001,2799,,,,,
,2799,0.1874498724937439,43,,,
,2815,,43,0.18504029512405396,,
,2815,,43,,0.18561255931854248,
0.001,2816,,,,,
0.001,2849,,,,,
,2849,0.18693365156650543,44,,,
,2879,,44,0.18520058691501617,,
,2879,,44,,0.18560518324375153,
0.001,2880,,,,,
0.001,2899,,,,,
,2899,0.1858401894569397,45,,,
,2943,,45,0.1857272833585739,,
,2943,,45,,0.18589770793914795,
0.001,2944,,,,,
0.001,2949,,,,,
,2949,0.1874449998140335,46,,,
0.001,2999,,,,,
,2999,0.18633601069450378,46,,,
,3007,,46,0.18508417904376984,,
,3007,,46,,0.18573300540447235,
0.001,3008,,,,,
0.001,3049,,,,,
,3049,0.18513087928295135,47,,,
,3071,,47,0.18500672280788422,,
,3071,,47,,0.18549303710460663,
0.001,3072,,,,,
0.001,3099,,,,,
,3099,0.18648138642311096,48,,,
,3135,,48,0.18493610620498657,,
,3135,,48,,0.18551450967788696,
0.001,3136,,,,,
0.001,3149,,,,,
,3149,0.18698963522911072,49,,,
0.001,3199,,,,,
,3199,0.18427886068820953,49,,,
,3199,,49,0.1850459724664688,,
,3199,,49,,0.1855780929327011,
0.001,3200,,,,,
0.001,3249,,,,,
,3249,0.18471477925777435,50,,,
