,rmse,mae,psnr,ecs,extremum_pos,f1_score,pearson,pearson_pvalue,r2_score,dtw,wasserstein,lsd,peak_freq_error,power_wasserstein,ssim,ms_ssim,rmse_pca_3_components,rmse_pca_6_components,nsr_depth_resolution_10,nsr_spatial_resolution_10,nsr_spatial_depth0_time_mean_resolution_10,nsr_spatial_depth40_time_mean_resolution_10,tl_grid_mae_freq_10,tl_grid_mae_freq_500,tl_grid_mae_freq_1000,tl_grid_ssim_freq_10,tl_grid_ssim_freq_500,tl_grid_ssim_freq_1000
rmse,1.0,0.9987491696867112,-0.9415336077864394,0.9911178856517721,0.797722650198313,-0.9829140198231952,-0.9957791074588495,0.9863220479786144,-0.9955170090205439,0.011134737908880796,0.9998807681131149,0.513969856670287,0.996961424784806,0.9975840472445997,-0.9974319797020398,-0.9996224802870669,0.9983508662214252,0.9999537808398288,0.9175751063361343,,-0.3119526947165686,0.9884091276205474,0.9819759323279985,0.5553715593655881,0.5107947290225643,-0.9984246417290851,-0.5174062152476296,-0.47226786311666896
mae,0.9987491696867112,1.0,-0.9550070451682955,0.9932170328767288,0.8038827336208907,-0.9836671417877937,-0.9901415092999355,0.9797936332859908,-0.9897602671814362,0.05857008742975214,0.9983763023597392,0.5570706940915906,0.9917553800282711,0.9994185175478228,-0.99779338711307,-0.9982484137208029,0.9943032356384909,0.9981402618113961,0.9129815386125769,,-0.29971005356677205,0.9803930921893638,0.9897707248098216,0.5899113554843286,0.5393858640100603,-0.9984987592031591,-0.5540264724077157,-0.5011431431953274
psnr,-0.9415336077864394,-0.9550070451682955,1.0,-0.9623434748307063,-0.7977957262456045,0.9513581696757252,0.9068162487403713,-0.8915113081037146,0.9056179303814317,-0.3359764552724506,-0.9398417651479916,-0.7394983240738809,-0.9162178833917496,-0.9571093109362259,0.9528761499495484,0.940198784733936,-0.9207825720370426,-0.938489886122517,-0.9057671510771289,,0.08696926083495726,-0.910508135944614,-0.9798801828376084,-0.7912553157719093,-0.7349831893098924,0.9433973681916298,0.76281214918223,0.6974177286588933
ecs,0.9911178856517721,0.9932170328767288,-0.9623434748307063,1.0,0.8475109312151073,-0.9952563366089017,-0.979438452929956,0.9679414245201743,-0.9788318693158952,0.08605077146828796,0.9904970207407723,0.5847738393958947,0.9827406855480904,0.9934356624776719,-0.9966559658782298,-0.9928748655412613,0.9842157907243163,0.990158763489978,0.9162019236646869,,-0.2594864741841259,0.9741882001130358,0.9841490928837573,0.6208869911590977,0.5770078348625066,-0.9882140143470759,-0.5850137125623445,-0.5397963406068984
extremum_pos,0.797722650198313,0.8038827336208907,-0.7977957262456045,0.8475109312151073,1.0,-0.8465615112505318,-0.7816763665223525,0.7709676625350922,-0.7804071401182126,0.1492149445572081,0.7972006022451212,0.5821021359818931,0.7905054011990502,0.8033211081696562,-0.8112800665828749,-0.8052508144338677,0.7871814270334803,0.7967318570686258,0.6826546241455594,,-0.12823310353872489,0.7668559185631818,0.7867210421889053,0.5269656495843237,0.4866295162607151,-0.7842084652097856,-0.5030655352773941,-0.4590090830963739
f1_score,-0.9829140198231952,-0.9836671417877937,0.9513581696757252,-0.9952563366089017,-0.8465615112505318,1.0,0.9725071780294094,-0.9619387382726285,0.971920971181869,-0.07180634746760586,-0.98193893588876,-0.5641338238230829,-0.975994419436213,-0.9845544887952945,0.9920858935637251,0.9858965544341914,-0.9767220410627503,-0.9819290441420875,-0.9198647611240848,,0.24404851052530496,-0.9704826808752377,-0.9743267555319537,-0.6140036604518884,-0.576611054369326,0.9794176282817929,0.5769414914223121,0.5409370505699208
pearson,-0.9957791074588495,-0.9901415092999355,0.9068162487403713,-0.979438452929956,-0.7816763665223525,0.9725071780294094,1.0,-0.9922249038469304,0.999991905818842,0.07927976496154611,-0.9960836367417292,-0.4410218685570748,-0.9990031922663283,-0.9884145958367707,0.9897461442412493,0.995743598769662,-0.9993405315805944,-0.996527355711595,-0.9042331855267435,,0.36539554688486714,-0.9905639733849713,-0.9623730312653677,-0.48078565745356094,-0.4414712991946371,0.9930546254104802,0.4407975882404089,0.4034912959023781
pearson_pvalue,0.9863220479786144,0.9797936332859908,-0.8915113081037146,0.9679414245201743,0.7709676625350922,-0.9619387382726285,-0.9922249038469304,1.0,-0.9924260038397096,-0.0988294530347693,0.9865821038393553,0.4212962811440298,0.9909650810493708,0.9778664036120764,-0.9795073958666195,-0.9862578486462584,0.9909839992778593,0.9872352884486756,0.8937150127350317,,-0.3761511355564857,0.9826058573356897,0.9499487525355422,0.4605698612349396,0.4228132441199656,-0.9834823058713015,-0.4203709103315804,-0.38522078765760415
r2_score,-0.9955170090205439,-0.9897602671814362,0.9056179303814317,-0.9788318693158952,-0.7804071401182126,0.971920971181869,0.999991905818842,-0.9924260038397096,1.0,0.08210119217761348,-0.995812582649901,-0.43864550440240907,-0.9988732442767709,-0.9879578468189703,0.9893452270071327,0.9954742291710438,-0.9992430371138954,-0.9962895332247854,-0.903574959857728,,0.3676236730126283,-0.9904632851794275,-0.9616804246103089,-0.4784613442053876,-0.43924807351265416,0.9927737323097866,0.438406251741376,0.40122895968794986
dtw,0.011134737908880796,0.05857008742975214,-0.3359764552724506,0.08605077146828796,0.1492149445572081,-0.07180634746760586,0.07927976496154611,-0.0988294530347693,0.08210119217761348,1.0,0.006994180842739472,0.7742394227362014,-0.05571885643878167,0.06728496842976378,-0.045576388835615524,-0.006699177720096807,-0.04391704937862099,0.0029611429760400946,0.09249450057261285,,0.5939264756843335,-0.06709470838995357,0.183206986692404,0.7683417958906029,0.7020569785497028,-0.02809907617891825,-0.7924985467504106,-0.6969849984922544
