model,n_topk
MLIC_20260803_004638_best_checkpoint_rmse,18
MLIC_20260803_004630_best_checkpoint_rmse,17
MLIC_20260726_101454_best_checkpoint_rmse,16
MLIC_20260803_231624_best_checkpoint_rmse,15
MLIC_20260803_004630_best_checkpoint_f1,14
MLIC_20260726_101454_best_checkpoint_loss,14
MLIC_20260803_230822_best_checkpoint_rmse,13
MLIC_20260803_004638_best_checkpoint_f1,12
MLIC_20260803_004630_best_checkpoint_loss,12
MLIC_20260726_101454_best_checkpoint_f1,12
MLIC_20260803_004638_best_checkpoint_loss,11
MLIC_20260729_195351_best_checkpoint_rmse,11
MLIC_20260729_195351_best_checkpoint_f1,10
MLIC_20260803_230822_best_checkpoint_f1,8
MLIC_20260804_235823_best_checkpoint_rmse,8
MLIC_20260805_002413_best_checkpoint_rmse,7
MLIC_20260729_195351_best_checkpoint_loss,7
MLIC_20260803_231624_best_checkpoint_loss,6
MLIC_20260803_230822_best_checkpoint_loss,6
MLIC_20260804_235823_best_checkpoint_f1,6
MLIC_20260803_232645_best_checkpoint_loss,6
MLIC_20260803_231624_best_checkpoint_f1,5
MLIC_20260803_232645_best_checkpoint_f1,5
MLIC_20260619_180735_best_checkpoint_f1,3
MLIC_20260805_002413_best_checkpoint_loss,3
MLIC_20260803_232645_best_checkpoint_rmse,3
MLIC_20260805_002413_best_checkpoint_f1,3
MLIC_20260619_180735_best_checkpoint_loss,3
MLIC_20260723_220336_best_checkpoint_f1,2
MLIC_20260619_180735_best_checkpoint_rmse,2
MLIC_20260723_220336_best_checkpoint_loss,2
MLIC_20260803_173849_best_checkpoint_f1,2
MLIC_20260803_173849_best_checkpoint_loss,2
MLIC_20260725_155134_best_checkpoint_f1,2
MLIC_20260725_155134_best_checkpoint_rmse,2
MLIC_20260729_210619_best_checkpoint_f1,1
MLIC_20260725_155134_best_checkpoint_loss,1
MLIC_20260729_210619_best_checkpoint_loss,1
MLIC_20260729_210619_best_checkpoint_rmse,1
MLIC_20260803_175321_best_checkpoint_rmse,1
MLIC_20260803_175321_best_checkpoint_loss,1
MLIC_20260803_175321_best_checkpoint_f1,1
MLIC_20260804_235815_best_checkpoint_f1,1
MLIC_20260804_235815_best_checkpoint_loss,1
MLIC_20260804_235815_best_checkpoint_rmse,1
MLIC_20260805_231719_best_checkpoint_rmse,1
MLIC_20260806_225950_best_checkpoint_loss,1
