metric,direction,rank,model,iteration,cr,value
rmse,min,1,MLIC_20260729_195351_best_checkpoint_rmse,195351,9662.500436478913,0.007862073369324207
rmse,min,2,MLIC_20260803_230822_best_checkpoint_rmse,230822,9477.432158708341,0.007906697690486908
rmse,min,3,MLIC_20260729_195351_best_checkpoint_f1,195351,9740.57677805054,0.007930293679237366
rmse,min,4,MLIC_20260729_195351_best_checkpoint_loss,195351,9752.39133770072,0.007974331267178059
rmse,min,5,MLIC_20260803_004638_best_checkpoint_f1,4638,9443.618659374793,0.007975569926202297
rmse,min,6,MLIC_20260803_004638_best_checkpoint_rmse,4638,9251.524745073635,0.007993215695023537
rmse,min,7,MLIC_20260726_101454_best_checkpoint_rmse,101454,9766.099178554363,0.008022008463740349
rmse,min,8,MLIC_20260803_004630_best_checkpoint_rmse,4630,9647.976840575418,0.008087403140962124
rmse,min,9,MLIC_20260803_004638_best_checkpoint_loss,4638,9228.327700145954,0.008087917231023312
rmse,min,10,MLIC_20260803_004630_best_checkpoint_f1,4630,9988.235954628082,0.008102666586637497
mae,min,1,MLIC_20260726_101454_best_checkpoint_rmse,101454,9766.099178554363,0.0034463407937437296
mae,min,2,MLIC_20260803_230822_best_checkpoint_rmse,230822,9477.432158708341,0.003471709555014968
mae,min,3,MLIC_20260729_195351_best_checkpoint_rmse,195351,9662.500436478913,0.0034996438771486282
mae,min,4,MLIC_20260803_004638_best_checkpoint_rmse,4638,9251.524745073635,0.0035079363733530045
mae,min,5,MLIC_20260803_231624_best_checkpoint_rmse,231624,9331.544654316816,0.0035081093665212393
mae,min,6,MLIC_20260803_004630_best_checkpoint_rmse,4630,9647.976840575418,0.003510198788717389
mae,min,7,MLIC_20260726_101454_best_checkpoint_f1,101454,9854.260512726274,0.0035126679576933384
mae,min,8,MLIC_20260726_101454_best_checkpoint_loss,101454,9749.409602437658,0.003521455219015479
mae,min,9,MLIC_20260803_004638_best_checkpoint_f1,4638,9443.618659374793,0.003522527404129505
mae,min,10,MLIC_20260729_195351_best_checkpoint_f1,195351,9740.57677805054,0.003526295069605112
psnr,max,1,MLIC_20260726_101454_best_checkpoint_rmse,101454,9766.099178554363,69.69651266526176
psnr,max,2,MLIC_20260803_004630_best_checkpoint_rmse,4630,9647.976840575418,69.53694492867237
psnr,max,3,MLIC_20260803_230822_best_checkpoint_rmse,230822,9477.432158708341,69.53398486334893
psnr,max,4,MLIC_20260726_101454_best_checkpoint_loss,101454,9749.409602437658,69.49788793958501
psnr,max,5,MLIC_20260805_002413_best_checkpoint_rmse,2413,9755.854327026871,69.48835493169247
psnr,max,6,MLIC_20260804_235823_best_checkpoint_rmse,235823,9832.811767487641,69.46721276195288
psnr,max,7,MLIC_20260803_004630_best_checkpoint_loss,4630,9613.284122960124,69.4471737135
psnr,max,8,MLIC_20260803_004630_best_checkpoint_f1,4630,9988.235954628082,69.44069589919128
psnr,max,9,MLIC_20260726_101454_best_checkpoint_f1,101454,9854.260512726274,69.428820672374
psnr,max,10,MLIC_20260803_004638_best_checkpoint_rmse,4638,9251.524745073635,69.41906637109456
ecs,min,1,MLIC_20260803_004630_best_checkpoint_f1,4630,9988.235954628082,24.88844525229227
ecs,min,2,MLIC_20260726_101454_best_checkpoint_rmse,101454,9766.099178554363,24.9576557541152
ecs,min,3,MLIC_20260803_231624_best_checkpoint_rmse,231624,9331.544654316816,25.00922506378844
ecs,min,4,MLIC_20260803_230822_best_checkpoint_rmse,230822,9477.432158708341,25.03307250008358
ecs,min,5,MLIC_20260726_101454_best_checkpoint_f1,101454,9854.260512726274,25.09444968904475
ecs,min,6,MLIC_20260803_004630_best_checkpoint_rmse,4630,9647.976840575418,25.114172619811523
ecs,min,7,MLIC_20260726_101454_best_checkpoint_loss,101454,9749.409602437658,25.160448272782993
ecs,min,8,MLIC_20260803_230822_best_checkpoint_f1,230822,9794.449868185553,25.3463400617109
